channel,N
Unknown5,1
"Up, into space!",1
VICE News,3
Veritasium,1
VideoFromSpace,1
Vincent Racaniello,1
Vox,15
Vsauce,14
WIRED,7
WIRED Masterminds,1
WIRED UK,2
WORLD.MINDS,1
WWF International,6
Wall Street Journal,1
War Documentaries,1
Washington Post,4
Wendover Productions,6
World Government Summit,3
Wyoming PBS,4
Yemen,2
YorkVid,1
abcqanda,1
bill wurtz,1
biointeractive,1
efixx,1
euronews (in English),1
fullychargedshow,5
hazards and catastrophes,5
ian heslop,1
ibx2cat,1
ideacity,2
kore kojitsu,1
morn1415,1
mud bug,1
nature video,1
officiallor9,1
space and astronomy,2
thechesswebsite,2
truly,1
vpro documentary,5
wocomoDOCS,1
القناة الرسمية للإعلامي معتز مطر,1
