,category,id,duration,caption,definition,title,description,publishedAt,channelid,channeltitle,views,likes,dislikes,favorite,comments,category.y,related,fake
11,22,aDejwCGdUV8,PT3H1M55S,FALSE,hd,Joe Rogan Experience #725 - Graham Hancock & Randall Carlson,"Graham Hancock is an English author and journalist, well known for books such as ""Fingerprints Of The Gods"" & his new book ""Magicians of the Gods"" is available now. Randall Carlson is a master builder and architectural designer, teacher, geometrician, geomythologist, geological explorer and renegade scholar.",2015-11-19T22:31:07.000Z,UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE,7670020,76912,5503,0,14400,People & Blogs,1,0
12,22,mPqWstVnRjQ,PT2H13M49S,FALSE,hd,Joe Rogan Experience #1035 - Paul Stamets,"Paul Stamets is a mycologist, author and advocate of bioremediation and medicinal fungi. Check out https://www.youtube.com/paulstamets",2017-11-08T03:20:07.000Z,UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE,5966654,103480,3293,0,13878,People & Blogs,1,0
13,22,eOUWgtbIhgE,PT9M10S,TRUE,hd,The War on Consciousness - Graham Hancock,"What is death? Our materialist science reduces everything to matter, materialist science in the West says that we are just meat, weâ€™re just our bodies. So when the brain is dead, thatâ€™s the end of consciousness, there is no life after death, there is no soul; we just rot and are gone. Actually, many honest scientists should admit that consciousness is the greatest mystery of science and that we donâ€™t know exactly how it works. The brain is involved in it some way but weâ€™re not sure how. It could be that the brain generates consciousness the way a generator makes electricity, if you hold to that paradigm, then of course you canâ€™t believe in life after death, when the generatorâ€™s broken, consciousness is gone. But itâ€™s equally possible that the relationship â€” and nothing in neuroscience rules it out â€“ that the relationship is more like the relationship of the TV signal to the TV set, and in that case, when the TV set is broken, of course the TV signal continues. And this is the paradigm of all spiritual traditions, that we are immortal souls temporarily incarnated in these physical forms.

If we want to understand consciousness, the last people we should ask are materialist scientists. Instead, we should look at ancient cultures, like the Egyptians, who highly valued dream states. Many ancient cultures around the world used hallucinogenic plants to understand consciousness and expand their minds. 

However in today's society, visionary plants are highly illegal because they promote a state of consciousness that does not agree with the agenda of profit. Substances, like coffee, alcohol, sugar and pharmaceuticals, are forced upon the population, but possession of even small quantities of cannabis, Ayahuasca or psilocybin will land you in jail. If we do not recognize the right of adult sovereignty over consciousness, then we can NOT claim to be free. 

Look at what our moderns state of consciousness has done. We have destroyed the natural gifts of earth in pursuit of short-term, selfish gain. We must reconnect with spirit immediately or else we will encounter disaster. Visionary plants could be the remedy for our current sickness. 

Disclaimer: We are not promoting risky, illegal or dangerous behavior. Do your research before taking any action. Visionary plants are not meant for partying. They should be used responsibly, in moderation and under experienced supervision.

For more info visit https://grahamhancock.com/
or follow
https://www.facebook.com/Author.GrahamHancock/

If you'd like to get involved and help us produce more animations like this, please support After Skool on Patreon https://www.patreon.com/AfterSkool/overview

To get the After Skool graphic novel visit our site https://www.afterskool.net/

This was audio was taken from a banned TedTalk in 2013. Here is the full 19 minute lecture https://www.youtube.com/watch?v=Y0c5nIvJH7w&t=128s 

And please subscribe for more weekly animations! Thanks for watching!

This lecture was taken from a banned TEDtalk. To learn why the talk was banned, see the story here: https://grahamhancock.com/ted-war-on-consciousness-hancock/",2018-07-10T16:25:02.000Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,1112688,58237,2058,0,4468,People & Blogs,0,0
14,22,7T6GaDht6do,PT9M57S,TRUE,hd,Why No One Cares About Climate Change,"Start listening with a 30-day Audible trial. Choose 1 audiobook and unlimited monthly Audible Original downloads absolutely free. Visit http://www.audible.com/afterskool or text afterskool to 500-500 

The key takeaway from this video: SAVE YOURSELF AND YOU WILL SAVE THE WORLD.  Love yourself and you will love the world. We cannot change the world until we change ourselves. If you become better, the world will follow.

Please consider supporting After Skool on Patreon https://www.patreon.com/AfterSkool

If you want to get in touch, feel free to send an email of visit https://www.afterskool.net

Order our children's book on amazon https://www.amazon.com/Dont-Country-Flags-Color-Purple/dp/0578489244/ref=sr_1_4?crid=3HDGIHGKNWTYT&keywords=why+don%27t+country+flags+use+the+color+purple&qid=1568501220&sprefix=why+don%27t+country+%2Caps%2C186&sr=8-4

And please subscribe and hit the notifications bell to see future animations! Thank you!

Sources:
https://www.nationalgeographic.com/news/2017/07/plastic-produced-recycling-waste-ocean-trash-debris-environment/
https://www.worldbank.org/en/topic/poverty/overview
https://ourworldindata.org/global-mental-health",2020-04-28T16:00:02.000Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,42483,3371,251,0,935,People & Blogs,1,0
15,22,Nxn2LlBJDl0,PT11M6S,TRUE,hd,Stoned Ape & Fungal Intelligence - Paul Stamets,"Paul Stamets is a mycologist, author and advocate of bioremediation and medicinal fungi. In this animation he describes the incredible properties of fungi as well as an overview of how mushrooms could have played a massive role in the evolution of human consciousness. Please share/like/subscribe. 

If you want to see more animations like this, please support us on Patreon so we can spend more time animating high quality content. Your generosity means the world! https://www.patreon.com/AfterSkool

Full conversation between Paul and Joe Rogan can be heard here https://www.youtube.com/watch?v=mPqWstVnRjQ

Paul did want to issue one correction: Folks, On this broadcast, I made a misstatement. Although the divergence of basidiomycota is estimated to be as far back at 1.2 billion years ago, the fossil, Gondwanagaricities magnificus is estimated to be more than 100 million years old. ""Molecular clock estimates suggest the divergence of the Basidiomycota around 500 Ma to 1.2 billion years [26] and G. magnificus establishes the earliest calibration point so far for the Agaricales, with a new minimum age of 113â€“120 Ma.â€<9d> Source: http://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0178327

Special thanks to BioGraphic for the amazing fungal footage. Check out their channel https://www.youtube.com/user/bioGraphicMagazine",2018-03-13T15:56:56Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,1602739,54326,1557,0,3646,People & Blogs,1,0
16,22,UygnXqoKrC4,PT40M25S,FALSE,sd,The Strangest Secret in the World by Earl Nightingale full 1950,http://www.thecoconutcode.com Earl Nightingale message is incredible here and we highly recommend listening to it and following some of the awesome traits Earl lays out in detail. Grab a pen and paper and get motivated with this inspiring audio / video. For more inspirational and motivational videos like this head over to http://www.thecoconutcode.com,2015-01-01T19:11:29.000Z,UCQmP8IJjqiw2WAvo8uI1WxQ,The Coconut Code,1845737,44444,1929,0,2530,People & Blogs,0,0
17,25,Abz3Ab9HhaQ,PT1H30M3S,FALSE,hd,Ces financiers qui dirigent le monde - BlackRock | ARTE,"[Disponible jusqu'au 01/07/2020]

En dehors de Wall Street, qui connaÃ®t BlackRock, le plus puissant gestionnaire dâ€™actifs de la planÃ¨teÂ ? EnquÃªte sur un acteur discret mais influent de la vie Ã©conomique et politique mondiale.

Si lâ€™argent ne fait pas le bonheur, il ouvre sans nul doute les portes du pouvoir. Une maxime que le groupe de gestion d'actifs BlackRock, avec sesÂ 6Â 000Â milliards de dollars amÃ©ricains passÃ©s, soit plus de deux fois le PIB de la France, connaÃ®t bien. SociÃ©tÃ©s, gouvernements et banques centrales : l'entreprise tentaculaire ne cesse d'Ã©tendre son influence dans toutes les directions, depuis sa crÃ©ation, enÂ 1988, par Larry Fink. La force de ce gÃ©ant amÃ©ricain de la gestion rÃ©side dans les milliards de dollars que lui confient ses clients, pour la plupart des gros poissons de la finance : multinationales, institutions financiÃ¨res et fonds dâ€™investissementÂ ou de pension. GrÃ¢ce Ã  cette manne financiÃ¨re, le groupe a mis le grappin sur de nombreuses multinationales. Actuellement, BlackRock est entre autres prÃ©sent dans le capital dâ€™Apple, de Microsoft, de Facebook, de McDonaldâ€™s, de Siemens, ainsi que de nombreuses entreprises du CACÂ 40. Non content dâ€™investir dans les entreprises les mieux cotÃ©es du monde, le gestionnaire d'actifs est aussi dans les petits papiers de gouverneurs de banques centrales, de ministres des finances et mÃªme de chefs dâ€™Ã‰tat, Ã  qui il prodigue de prÃ©cieux conseils. Et pour causeÂ : il dispose non seulement des meilleurs experts financiers, mais aussi dâ€™un algorithme de prÃ©vision conjoncturel sans Ã©gal, Aladdin. Lors de la crise financiÃ¨re deÂ 2008, de nombreux gouvernements proches du naufrage avaient fait appel au groupe de Larry Fink, ce qui lui a permis de renforcer son emprise sur lâ€™Ã©conomie mondiale et de prÃ©senter Ã  tous le visage d'une entreprise providentielleâ€¦Â 

Documentaire complet de Tom Ockers (Allemagne, 2019, 1h30mn)

#WallStreet #BlackRock #Finance

Abonnez-vous Ã  la chaÃ®ne ARTE https://www.youtube.com/channel/UCwI-JbGNsojunnHbFAc0M4Q/?sub_confirmation=1

Suivez-nous sur les rÃ©seaux !
Facebook : http://www.facebook.com/artetv
Twitter : http://www.twitter.com/artefr
Instagram : https://www.instagram.com/artefr",2019-09-17T10:00:03.000Z,UCwI-JbGNsojunnHbFAc0M4Q,ARTE,1961496,19518,869,0,2132,News & Politics,0,0
18,25,WA1Ji-Hj1qo,PT46M18S,FALSE,hd,Ray Dalio on the Economic Impact of the Coronavirus Crisis,"Apr.15 -- Ray Dalio, the billionaire founder of investment management firm Bridgewater Associates, talks with Bloomberg's Erik Schatzker on the ""Bloomberg Invest Talks"" webcast about the long-term economic implications of the coronavirus crisis and what can be expected moving forward.",2020-04-15T23:10:20.000Z,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Markets and Finance,516757,6073,588,0,1297,News & Politics,0,0
19,25,IzQxaUVtmUA,PT9M43S,FALSE,hd,The Left 'has attacked' Michael Moore for his 'Planet Human' documentary,"The Left has levelled a ""furious attack"" on Michael Moore after the filmmaker released a documentary on Youtube castigating ""the green energy scam"", according to Sky News host Andrew Bolt.

Mr Moore released the documentary â€œPlanet of the Humans,â€<9d> free to charge this week to mark Earth Day.

The documentary casts doubt over the efficacy of renewables, in particular solar and wind energy.

The documentary filmmakers argue some green energy is hindering, rather than helping, the fight against dangerous climate change.

Mr Bolt said he did not agree with some of the documentary's content, but the filmmakers ""do make some great points.""

""This is why their film has come as a shock to so many,"" Mr Bolt said.

""Green groups are actually trying to get 'Planet of the Humans' banned.

""Isn't that a sign of the times? If you don't like the message, just try and ban it.""

Image: AP",2020-04-27T10:35:15.000Z,UCO0akufu9MOzyz3nvGIXAAw,Sky News Australia,350957,7723,897,0,3634,News & Politics,1,0
20,25,kFQJNeQDDHA,PT50M30S,TRUE,hd,The Wall Street Code | VPRO documentary | 2013,"A thriller about a genius algorithm builder who dared to stand up against Wall Street. Haim Bodek, aka The Algo Arms Dealer. After Quants: the Alchemists of Wall Street and Money & Speed: Inside the Black Box. This is the final episode of a trilogy in search of the winners and losers of the tech revolution on Wall Street. Trading on the financial market is not longer dominated by humans, but by super fast computers and algorithms. The result of this digital revolution on Wall Street is a complex and fragmented financial system that is hard to understand and overseen. A system that we are all connected to. The only people who understand the system a bit, are the people who built it.

Haim Bodek started his own high frequency trading in 2007 and built a from his point of view perfect and fast algorithm. One day it just stopped working. Profits disappeared en he went looking for the cause. He decided to go public with his search to display the rotten system. 

Originally broadcasted by VPRO in 2013.
Â© VPRO Backlight November 2013

On VPRO broadcast you will find nonfiction videos with English subtitles, French subtitles and Spanish subtitles, such as documentaries, short interviews and documentary series.
VPRO Documentary publishes one new subtitled documentary about current affairs, finance, sustainability, climate change or politics every week. We research subjects like politics, world economy, society and science with experts and try to grasp the essence of prominent trends and developments.

Subscribe to our channel for great, subtitled, recent documentaries.

Visit additional youtube channels bij VPRO broadcast:
VPRO Broadcast, all international VPRO programs: https://www.youtube.com/VPRObroadcast
VPRO DOK, German only documentaries: https://www.youtube.com/channel/UCBi0VEPANmiT5zOoGvCi8Sg
VPRO Metropolis, remarkable stories from all over the world: https://www.youtube.com/user/VPROmetropolis
VPRO World Stories, the travel series of VPRO: https://www.youtube.com/VPROworldstories
VPRO Extra, additional footage and one off's: https://www.youtube.com/channel/UCTLrhK07g6LP-JtT0VVE56A
www.VPRObroadcast.com

Credits:
Director: Marije Meerman
Research: Gerko Wessel
English, French and Spanish subtitles: Ericsson.
French and Spanish subtitles are co-funded by European Union.",2013-11-04T20:52:06.000Z,UC9sXw4ZdPEIp6bYGvLW-_iA,vpro documentary,1474674,11503,525,0,1071,News & Politics,0,0
21,25,WBFoV6jn79c,PT46M39S,TRUE,hd,Being offline is the new luxury - VPRO documentary,"When have you been offline for the last time? Did you choose yourself to be offline or was internet not working? To be offline seems more and more to become a choice that we see as a luxury. Is being offline the new luxury or is it still a luxury to be online for some people?

Digital networks are becoming denser and denser. We are online all the time everywhere and they are fewer places where we really can be alone. Where and when can we still disconnect? To be offline has become a luxury. Will we permanently use data or do we take back control over our connectivity? In this documentary we go on a journey to the edge of internet. 

To be online all the time and everywhere. It sounds great, but it has its drawbacks. As digital networks are closing in, there are fewer places to be really on your own. Being offline is becoming a luxury. Where can you be offline? 

We are connected to the internet even in our bedrooms. Itâ€™s the ambition of companies like Google and Facebook to connect the entire world, so that we can be online all the time and everywhere. Google has sent balloons up into the skies over Sri Lanka to provide the island state with free Wi-Fi for a month. On the ground, more and more devices communicate through the so-called Internet-of-Things. We are going to be â€˜glass citizensâ€™ in a transparent house, connected for life to a wireless intravenous drip and traced anywhere via our smartphones. What does it mean? 

A small but growing group of people is saying goodbye to lifetime connectability. They are researching ways to keep control. What can we learn from them about life in the digital era? With: Paul Frissen (political scientist), Sherry Turkle (psychologist MIT), Evgeny Morozov (internet critic) and Birgitta Jonsdottir (hacker & founder Pirate Party)

Original title: Offline als luxe
Originally broadcasted by VPRO in 2016.
Â© VPRO Backlight May 2016

On VPRO broadcast you will find nonfiction videos with English subtitles, French subtitles and Spanish subtitles, such as documentaries, short interviews and documentary series.
VPRO Documentary publishes one new subtitled documentary about current affairs, finance, sustainability, climate change or politics every week. We research subjects like politics, world economy, society and science with experts and try to grasp the essence of prominent trends and developments.

Subscribe to our channel for great, subtitled, recent documentaries.

Visit additional youtube channels bij VPRO broadcast:
VPRO Broadcast, all international VPRO programs: https://www.youtube.com/VPRObroadcast
VPRO DOK, German only documentaries: https://www.youtube.com/channel/UCBi0VEPANmiT5zOoGvCi8Sg
VPRO Metropolis, remarkable stories from all over the world: https://www.youtube.com/user/VPROmetropolis
VPRO World Stories, the travel series of VPRO: https://www.youtube.com/VPROworldstories
VPRO Extra, additional footage and one off's: https://www.youtube.com/channel/UCTLrhK07g6LP-JtT0VVE56A
www.VPRObroadcast.com

Credits:
Director: Bregtje van der Haak
Research: Tijl van Hillekom, Wiesje Kuijpers, Marijntje Denters
Producer: Jeroen Beumer
Commissioning Editors: Marije Meerman, Doke Romeijn
English, French and Spanish subtitles: Ericsson.
French and Spanish subtitles are co-funded by European Union.",2019-03-02T01:00:02.000Z,UC9sXw4ZdPEIp6bYGvLW-_iA,vpro documentary,66495,1135,43,0,220,News & Politics,0,0
