Bias;id
1;bkFAc83GkUQ
1;0vFJFyxcmbA
0;BxnlMwROEyg
0;9vJRopau0g0
1;AKTyPgwfPgg
1;Zsnigt5D9vA
1;yJ4UgRKc7Ro
1;x-AqwJO7TJY
1;faXwVrOvynI
1;wYCmU6jMLo8
1;Lg3hFWlOIuU
0;6qkSMkiGWdg
0;SLy9bDayMJY
0;70D16euYoKg
1;azq0S0DKS50
1;vs-9qlWlLcs
0;SGJ5cZnoodY
0;69rm13iUUgE
0;FgICQojqZCo
1;XXibvd5SqvU
0;mp2xY6gg9gE
0;IaxoIbXAcKM
0;6xrJy-1_qS4
1;dHAbmoFHqgA
1;Y8PHH4HaVcI
1;Lk_YAp8Wh5s
1;GFNvcw12d08
1;b3w9ZbRQIek
1;6dv8zJiggBs
1;nySajU6xuM8
1;9LqA5MnymM4
1;to5qRLRSS7g
0;dJVkLyHd2v0
1;KD_PrpUoXYw
0;CJ94RFdctH0
0;#NAME?
0;DFOOq3mwL4o
0;2pBVbAHkC7M
0;qAYbz_9YxOk
0;f3FNj3lDIbU
1;PqtAdjXa_HU
1;J9P4UadRdNA
1;j0GL_4cAkhI
0;dqzIMnP1RzQ
0;JovtmKFxi3c
1;jY3axuAm2AA
0;bTeuzC0d0hA
1;KqCudv-JQ2o
1;_nhfI81XLMQ
0;xC6U52G4DAw
1;73nXMQO-new
1;zNVQfWC_evg
1;m9A4FMpwcQM
0;P0xIoUhzpvA
1;1Z69e_Mda2s
1;JOlVkES_kC8
0;ZbWtjIc8xQE
1;aR1zIAE_JTo
1;zQCTeGKHsVc
0;2NZsL3idid0
1;XM1qIEMil2A
0;_wox36bFDqE
0;WA1Ji-Hj1qo
0;jodhovumkHQ
0;cmAvB8sl9V0
1;-C45Zd5g1mU
1;mdYTi6yT1Ew
0;cYrGmGFoi-I
0;V5deCFfjxUs
1;i1bRXpw1yzA
1;TGaK6iM4WKQ
0;HhZoQd1RzW8
1;wNo7qoLRtkQ
1;KYJdekjiAog
0;sWp87GXDvEk
0;DQzYnxN3tE4
1;V2_2UGeGL9M
1;8lTImEIbTcI
0;2paoNvG5Nmo
0;M1h7eh79srw
0;TZkuQUCUYgM
0;lew-IDR0Dqc
0;JmqV2vIXpUY
1;bJwuB9Xy4rc
1;4sa-6wsX7FY
1;Xm_2zmX6Akc
0;gpjYtAB9i2w
1;LGnq7854jTo
0;3kJp8as4fE4
0;RVVfJVj5z8s
1;DWN22eyQ64A
1;lGC5sGdz4kg
1;A2uIC4O_U2s
1;rdoN_XsHWBI
0;0eG4oldh2x8
1;5tNue9uJ3eg
0;TliKx7posYU
0;d0yGdNEWdn0
0;mifTvjiJrQc
1;vdHJjbHwR38
1;4KfSlN5PBpg
0;t6m49vNjEGs
1;YyMiSUfZtyU
1;oEVnq6LIKOM
0;reEZn3mJ-Fo
0;7Nkx2gYOdHM
1;oQAVtFpHClI
0;IDm4KDZVmoI
1;PyDU4bq8IdM
0;7mFPcJk2lEM
1;rCuKbstAoUs
0;Njdiu3DVdh0
0;on7Wjdl_qhM
1;OiWdSMGNnQg
0;w_Ma8oQLmSM
0;v_ONFix_e4k
1;6A_Gnm1MGjU
0;uWu6mlQC0N0
0;duu2NePfEo0
1;E2zrqzvtWio
0;UkQ6FBltdYU
1;cqQcGgumaHE
1;r4qQElJUYnM
0;y8qc8Aa3weE
0;fWCocjh5aK0
1;6TfLVL5GeE4
0;VLGGU3-kTws
1;Ckn_dUKfLz0
1;edH8-mzHHaU
1;lETF5JRgEN8
0;MdZAMSyn_As
1;f7V0NELM8BQ
0;XW-nmhWKd1M
0;s0dMTAQM4cw
0;yrxYhv2O3wU
1;I-Yk8Y-4rPg
0;K60xHx836T0
0;pgw6FoFPhjo
1;iGh_zhbuJCA
0;LHqbfJ3tq4Y
1;H0VvhtxVpNE
0;4-079YIasck
1;PAKaVmcOPBY
1;aVy2p4xlXJQ
0;GbVpWEVWTJs
1;lj3NhPgOoX4
1;vczzNIFMUjE
0;qYvXk_bqlBk
0;zxuw9ziGGzM
1;oLNV4EEW5bg
0;VSQnOS7t4Gg
1;rV8W3yIDkoA
1;Je_OeIZI6Xg
1;ycf6bAMKgjg
1;HuFFAAIbzPQ
0;KZ-tCc3S8V8
1;D6EPuUdIC1E
0;Fhd01XCp8t4
1;5ryW8lNHxtk
0;ruNQXvn8Tck
1;GCSXNGc7pfs
0;cDbt3dYXYY8
1;AjsWL4zGYhg
0;7pKYmCp3-Hs
1;MokWOIByPBQ
1;PvqbKKKagl0
1;K-mHCn74E5o
0;JiwZQNYlGQI
0;v4P2Qwh1QCU
1;y-eIhBThlrY
1;gsTZ2vh9-zk
1;sPrbGU0Wyh4
1;thc9iLZf0HQ
0;TLpbfOJ4bJU
0;_0RTH57v66I
1;k7v2F3usNVA
0;pES1Zd_vyjU
1;k0Q4naYOYDw
0;0wKVy8z5rQs
1;0g8lANs6zpQ
1;32Oc8A-1Lo0
1;-5RCmu-HuTg
0;cGL2f52_xaU
1;43mD0myVOmI
0;wAIP6fI0NAI
1;a1sU82JmY1s
0;tT0ob3cHPmE
1;3f0VRtY9oTs
1;G_NU3yXmmyI
0;-8J4wl9eUe4
0;EJImbdiVYVk
0;o4Y5Mr8rZ9A
1;pRpyHF2dfq0
1;4Lm4pwFl_Ag
1;ahOvTUkzwqg
0;g-172Dfkqc4
1;vqUmpBpH088
0;fp8ahoyuRzU
1;BvAQhOkWTAs
0;G1RRbupCxi0
0;4DJtjyB1gvE
1;nqLcxzv2_-o
0;19RHMZH2Nh4
1;AADUVt5gTEI
1;PWzbArPgo-o
0;G9HvukE56yM
1;Zh6lZ5mTSAI
1;xRwfJpNvWI0
1;RwZjVooitys
1;M3bezYerYxQ
0;nPETGWDWhNE
1;hKUffHXOb8U
1;l283rGeggHo
1;J4yraZiJ9D8
1;tFR43dRFJZ0
1;CO3SBt0VvfE
1;hIxwizlu4w8
1;zMuap2fgGuY
1;T-saAuXaPok
1;plcGzU49jx8
1;lfYtEMqjUV4
0;vuIlsN32WaE
0;K3ksKkCOgTw
1;9nAGBPPOOR0
0;_VB39Jo8mAQ
1;rtD5t6sU-7Y
1;K4rk3DeqN7g
1;qoJ4VDaGSfY
0;#NAME?
1;L1I4YaxhExg
1;dBnniua6-oM
0;MH0Y_FPa16E
0;K98JYRBGyrg
1;cuNGxEdWA-g
0;kYqcgxe1jpU
0;NOnvJV2MXvc
0;G0BcK4Nb6kI
0;qiN67V5q3C4
1;VVn-lcqs0o0
1;WJu7VzVtJiM
0;lo0X2ZdElQ4
0;xp0O2vi8DX4
0;Izd2qOgOGQI
1;6nFIVHckGhc
0;isCJqa9lugk
0;bRtBHF-WPpM
1;jrMAltUvXog
0;lPAZTF2mja8
0;C2gBGOwKGnM
0;StjIv33zJ9c
0;jobYTQTgeUE
0;Q_mvPs34eWU
1;Unzc731iCUY
0;8wRLQ8MVi0Q
0;YDR31_nh70Q
1;L9VysWRHPdI
1;#NAME?
1;Gb2D_x9QsUA
0;vLh98L0WZog
1;6Uko-gs--C8
0;U6O-wCRkHBc
0;E8cbwbTqmCw
1;DGVdD_QxuEc
0;mu4Uki8VyLc
0;LQXel-pHB6k
0;j7UgEAnYz58
0;j7F7Pil9tVQ
0;Ka1PWzZ8wF4
1;YHW5jkVyLYM
0;Qvvrme5WIwA
0;SiijS_9hPkM
1;2r3s2iSf7CY
1;rOmHy-LSNKE
1;Rt2n2jE7NvA
1;6HDUYiyF_DQ
0;VWPmMK8f12Y
1;BlaHA4b4x-4
1;82rIfs3HOqI
0;EKy19WzkPxE
1;5iPihogbh3o
0;SSH5EY-W5oM
1;rwIpxNHVHpk
0;yo2uVWfODYM
0;KTT7i3SKpMQ
0;yfV1T_v2CCQ
1;RtxusASaxYc
0;RlSwsE22nX0
0;liG5mQxGkp0
0;zXCiv4sc5eY
0;gh5VhaicC6g
0;IOMNCZPdmzo
0;cb9SyOQ2zAU
0;WJqY2HhzDGU
0;iSVy1b-RyVM
0;luvthTjC0OI
1;J77YacAk_bE
0;Mo_mgcxGYYE
0;2QSXKDCFh7o
0;2KUuTbSPG8s
1;aQ_AKR-fKnc
1;_kz377f3jj0
1;Shn7LdIrViQ
0;mGVz7eD1x-k
0;B4uUgdh3pmY
0;mG5ktYYpuGM
1;xXIvoGRHEoU
0;LnJwH_PZXnM
0;U-W47K8UTe4
0;Fr9L27V337E
