channel,channel_id,channel_url,datePublished,description,dislikes,duration,genre,id,key,likes,recommendations,title,uploadDate,views,channelDescription,viewCount,commentCount,subscriberCount,hiddenSubscriberCount,videoCount
Fox News,UCXIJgqnII2ZOINSWNOGFThA,/channel/UCXIJgqnII2ZOINSWNOGFThA,2019-10-23,"January 2017: Demand Protest, a San Francisco company calling itself the 'largest private grassroots support organization in the United States,' posting ads offering to pay protesters to disrupt Trump's inauguration. Tucker takes on Demand Protest representative. #Tucker #FoxNewsFOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Radio, FOX News Headlines 24/7, FOXNews.com and the direct-to-consumer streaming service, FOX Nation. FOX News also produces FOX News Sunday on FOX Broadcasting Company and FOX News Edge. A top five-cable network, FNC has been the most watched news channel in the country for 17 consecutive years. According to a 2018 Research Intelligencer study by Brand Keys, FOX News ranks as the second most trusted television brand in the country. Additionally, a Suffolk University/USA Today survey states Fox News is the most trusted source for television news or commentary in the country, while a 2017 Gallup/Knight Foundation survey found that among Americans who could name an objective news source, FOX News is the top-cited outlet. FNC is available in nearly 90 million homes and dominates the cable news landscape while routinely notching the top ten programs in the genre. Subscribe to Fox News!  https://bit.ly/2vBUvASWatch more Fox News Video: http://video.foxnews.comWatch Fox News Channel Live: http://www.foxnewsgo.com/Watch full episodes of your favorite showsThe Five: http://video.foxnews.com/playlist/lon...Special Report with Bret Baier: http://video.foxnews.com/playlist/lon...The Story with Martha Maccallum: http://video.foxnews.com/playlist/lon...Tucker Carlson Tonight: http://video.foxnews.com/playlist/lon...Hannity:  http://video.foxnews.com/playlist/lon...The Ingraham Angle: http://video.foxnews.com/playlist/lon...Fox News @ Night: http://video.foxnews.com/playlist/lon... Follow Fox News on Facebook: https://www.facebook.com/FoxNews/Follow Fox News on Twitter: https://twitter.com/FoxNews/Follow Fox News on Instagram: https://www.instagram.com/foxnews/om/",298,PT7M25S,News & Politics,r4qQElJUYnM,8123,"13,763",20,FLASHBACK: Tucker takes down man behind fake protest group - the Tullipso Interview,2019-10-23,650798,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre.",4223231321,0,4950000,False,64122
The Royal Institution,UCYeF244yNGuFefuFKqxIAXw,/channel/UCYeF244yNGuFefuFKqxIAXw,2017-02-15,"According to our best theories of physics, the fundamental building blocks of matter are not particles, but continuous fluid-like substances known as 'quantum fields'. David Tong explains what we know about these fields, and how they fit into our understanding of the Universe.Watch the Q&A here: https://youtu.be/QUMeKDlgKmkSubscribe for regular science videos: http://bit.ly/RiSubscRibeDavid Tong is a professor of theoretical physics at Cambridge University, specialising in quantum field theory. The Ri is on Twitter: http://twitter.com/ri_scienceand Facebook: http://www.facebook.com/royalinstitutionand Tumblr: http://ri-science.tumblr.com/Our editorial policy: http://www.rigb.org/home/editorial-po...Subscribe for the latest science videos: http://bit.ly/RiNewsletter","1,537",PT60M18S,Science & Technology,zNVQfWC_evg,3314,"31,622",19,Quantum Fields: The Real Building Blocks of the Universe - with David Tong,2017-02-15,2410375,"Videos to make you think more deeply about science. Explosive short films, full length talks from the world’s leading scientists and writers, and videos to challenge the way you look at the world.

The Royal Institution is a 200 year old independent charity based in London dedicated to connecting people with the world of science through events, education, and the CHRISTMAS LECTURES. 

If you like our films, please consider supporting us on Patreon: https://www.patreon.com/TheRoyalInstitution
Or making a donation at: https://www.justgiving.com/royalinstitution

We are required to state that we are part of the Amazon Associates programme which means that if you click on geni.us links in our video descriptions we may earn a commission on any purchases you make. This doesn't cost you anything and all the proceeds go towards the Ri's charitable education work.

The Royal Institution of Great Britain is a registered charity. Registered charity number: 227938.",82372108,0,769000,False,841
The Tonight Show Starring Jimmy Fallon,UC8-Th83bH_thdKZDJCrn88g,/channel/UC8-Th83bH_thdKZDJCrn88g,2017-08-09,"Billy Crystal tells Jimmy about touring Spend the Night with Billy Crystal around the country and how he handled a heckling Donald Trump supporter.Subscribe NOW to The Tonight Show Starring Jimmy Fallon: http://bit.ly/1nwT1aNWatch The Tonight Show Starring Jimmy Fallon Weeknights 11:35/10:35cGet more Jimmy Fallon: Follow Jimmy: http://Twitter.com/JimmyFallonLike Jimmy: https://Facebook.com/JimmyFallonGet more The Tonight Show Starring Jimmy Fallon: Follow The Tonight Show: http://Twitter.com/FallonTonightLike The Tonight Show: https://Facebook.com/FallonTonightThe Tonight Show Tumblr: http://fallontonight.tumblr.com/Get more NBC: NBC YouTube: http://bit.ly/1dM1qBHLike NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://nbctv.tumblr.com/The Tonight Show Starring Jimmy Fallon features hilarious highlights from the show including: comedy sketches, music parodies, celebrity interviews, ridiculous games, and, of course, Jimmy's Thank You Notes and hashtags! You'll also find behind the scenes videos and other great web exclusives.Billy Crystal Used Donald Trump's Words Against a Trump Supporterhttp://www.youtube.com/fallontonight","1,476",PT5M3S,Comedy,nyLDRioIWKE,1321,"20,964",18,Billy Crystal Used Donald Trump's Words Against a Trump Supporter,2017-08-09,2724230,"The Tonight Show Starring Jimmy Fallon features hilarious highlights from the show including: comedy sketches, music parodies, celebrity interviews, ridiculous games, and, of course, Jimmy's Thank You Notes and hashtags! You'll also find behind the scenes videos and other great web exclusives.

Watch The Tonight Show Starring Jimmy Fallon weeknights at 11:35/10:35c.",13715421174,0,24800000,False,5962
NAV MED VIDEOS,UClOfk9gsvf5dKLZXuctxTNA,/channel/UClOfk9gsvf5dKLZXuctxTNA,2020-04-09,"Coronavirus Live Map and realtime counter - Latest worldwide COVID-19 stats and figures.#covid19live #coronaviuslive #coronaviruslivemapThis is an effort to provide live coronavirus related information regarding the Coronavirus pandemic and growing numbers worldwide.Join us in discussing the Coronavirus pandemic live realtime and how the worldwide figures compare and what can we do together to see through this.1. Overview: - Coronavirus disease (COVID-19) is an infectious disease caused by a newly discovered coronavirus.2. Coronavirus symptoms and signs:-Most people infected with the COVID-19 virus will experience mild to moderate respiratory illness and recover without requiring special treatment.  Older people and those with underlying medical problems like cardiovascular disease, diabetes, chronic respiratory disease, and cancer are more likely to develop serious illness.3. Coronavirus prevention and treatment: -The best way to prevent and slow down transmission is to be well informed about the COVID-19 virus, the disease it causes and how it spreads. Protect yourself and others from infection by washing your hands or using an alcohol-based rub frequently and not touching your face. 4. Coronavirus - How does coronavirus spread?The COVID-19 virus spreads primarily through droplets of saliva or discharge from the nose when an infected person coughs or sneezes, so it’s important that you also practice respiratory etiquette (for example, by coughing into a flexed elbow).5. Coronavirus - Treatment, and PreventionAt this time, there are no specific vaccines or treatments for COVID-19. However, there are many ongoing clinical trials evaluating potential treatments. WHO will continue to provide updated information as soon as clinical findings become availableIf you like our videos please do not forget to like, comment, subscribe to the channel.Also, share it with your friends and family.Coronavirus live realtime counter References:1. WORLDOMETER: www.worldometers.info/coronavirus/2. BNO News: bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/3. JHU CSEE: gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf64. 1point3acres (for USA/CAN): coronavirus.1point3acres.com/en5. RiskLayer (DEU): www.risklayer-explorer.com/event/100/detail6. MorgenPost (DEU): interaktiv.morgenpost.de/corona-virus-karte-infektionen-deutschland-weltweit/7. DXY (CHN): ncov.dxy.cn/ncovh5/view/pneumoniaI hope this live stream serves as useful information. Please keep track of the numbers that impact you and help guide the decisions you need to make.Thank you for your support, encouragement, viewership and please take care. Keep up your immunity and defenses by getting plenty of rest and eating well to maintain your resiliency.We acknowledge the hard efforts done by all the governments, health care professional and other people in the containment of the Coronavirus pandemic. Every day there are thousands of people who put their lives at stake to help those who are suffering in this pandemic and are working day and night to save the lives of other people.My heart goes out to all the doctors, nurses and other healthcare personnel who are at the frontline of the Coronavirus outbreak and working really hard to save the lives of millions of people across the globe. Our condolences to all the families who have lost lives due to the Coronavirus pandemic or have had other material losses due to the pandemic.We urge everyone to stay safe and stay healthy and help each other. We all can work together to flatten the curve and get through the Coronavirus pandemic.You may Donate to support us at - https://streamlabs.com/navmedvideos**************************Visit our website at http://navmedvideos.com/**************************Our Facebook Page https://www.facebook.com/Nav-Med-Medi...**************************Our Facebook Grouphttps://www.facebook.com/groups/16287...**************************Our Youtube channel pagehttps://www.youtube.com/channel/UClOf...**************************Follow us on twitterhttps://twitter.com/navmedvideos**************************The medical information on this site is provided as an information resource only and is not to be used or relied on for any diagnostic or treatment purposes. This information is intended for medical education, and does not create any doctor-patient relationship, and should not be used as a substitute for professional diagnosis and treatment.","1,287",PT0M0S,News & Politics,cRy5_KpPxyM,4,"13,020",20,Coronavirus Live Map and realtime counter - Latest worldwide COVID-19 stats and figures.,2020-04-09,3806171,"Preparing for an exam can be a daunting task. Whether it is USMLE/AMC/PLAB or any other exam it can be a struggle to make out how to study properly and utilize time in a proper planned manner.

The aim of this channel was to pass on the information learnt from my experiences in preparing for an exam as an IMG.

It takes a lot of hard work and research to put out even a single video.

I hope I am able to help anyone and everyone whos is preparing for any sort of medical exam. I am very open to criticism and welcome any comments that can help improve the channel.",15711203,0,44600,False,294
CNA Insider,UC_Lnb8ZHqqgLbp-7hltuT9w,/channel/UC_Lnb8ZHqqgLbp-7hltuT9w,2020-04-13,"December 2019 in Wuhan, central China.  The epicentre of a dangerous new viral outbreak – Covid-19. In a space of just three months, a global pandemic is declared. Healthcare systems are overwhelmed, economies are disrupted and governments impose lockdowns to contain the spread of the virus. Where did this novel coronavirus come from? In what way was it manifesting itself in humans? How was it being spread?  We uncover the vital questions scientists ask as they grapple to understand this new virus, and its potential threat.  We also speak to the scientists and experts leading the fight against this latest pandemic to develop vaccines and treatments in a bid to halt the coronavirus’ relentless spreadFor more, SUBSCRIBE to CNA INSIDER!  https://www.youtube.com/cnainsider========================================#CNAInsider #CNAInsiderDocumentaries Follow CNA INSIDER on:Instagram: https://www.instagram.com/cnainsider/Facebook: https://www.facebook.com/cnainsider/Website: https://cna.asia/cnainsider",767,PT47M41S,News & Politics,VSQnOS7t4Gg,241,"2,724",20,The Search For A Covid-19 Vaccine | Race Against Pandemic | Full Episode,2020-04-13,762867,"People stories, Asian perspectives.

CNA INSIDER - WHERE TO FIND US!
Website: https://cna.asia/cnainsider
Instagram: https://www.instagram.com/cnainsider/
Facebook: https://www.facebook.com/cnainsider/
YouTube: https://www.youtube.com/cnainsider",112614472,0,331000,False,1866
Yahoo Finance,UCEAZeUIeJs0IjQiqTCdVSIg,/channel/UCEAZeUIeJs0IjQiqTCdVSIg,2020-05-03,"New York Governor Cuomo delivers update on coronavirus.Subscribe to Yahoo Finance: https://yhoo.it/2fGu5BbAbout Yahoo Finance: At Yahoo Finance, you get free stock quotes, up-to-date news, portfolio management resources, international market data, social interaction and mortgage rates that help you manage your financial life.Connect with Yahoo Finance:Get the latest news: https://yhoo.it/2fGu5BbFind Yahoo Finance on Facebook: http://bit.ly/2A9u5ZqFollow Yahoo Finance on Twitter: http://bit.ly/2LMgloPFollow Yahoo Finance on Instagram: http://bit.ly/2LOpNYz",30,PT0M0S,News & Politics,4cGK-iQRrTk,2212,109,20,LIVE: New York Governor Cuomo delivers update on coronavirus,2020-05-03,1096,"Yahoo Finance is the largest business and financial news site in the world, with unrivaled access to data, insights, and content. This channel shares some that of knowledge with informative video.",39908259,0,238000,False,5349
PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ,/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,2016-10-18,"This clip is taken from the Joe Rogan Experience podcast #858 with Jesse Ventura (https://youtu.be/d2P1L_7uHrY), also available for download via iTunes & Stitcher (http://bit.ly/2eq3b0K).http://podcasts.joerogan.net",895,PT20M54S,People & Blogs,WRADEtBzQFc,8432,"10,324",20,Jesse Ventura Discusses Chris Kyle & Lawsuit (from Joe Rogan Experience #858),2016-10-18,951254,The Joe Rogan Experience podcast,2132161547,0,8200000,False,2375
PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ,/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,2018-01-30,Jordan Peterson is a clinical psychologist and tenured professor of psychology at the University of Toronto.https://www.youtube.com/channel/UCL_f...All Dr. Peterson’s self-improvement writing programs at www.selfauthoring.com 20% off for Rogan listeners.  Code: ROGAN,"5,423",PT148M53S,People & Blogs,6T7pUEZfgdI,2323,"133,565",20,Joe Rogan Experience #1070 - Jordan Peterson,2018-01-30,7791021,The Joe Rogan Experience podcast,2132161547,0,8200000,False,2375
Fox News,UCXIJgqnII2ZOINSWNOGFThA,/channel/UCXIJgqnII2ZOINSWNOGFThA,2020-04-20,"Expressing your views about the decisions that politicians make is protected under the Constitution. #FoxNews #TuckerFOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Radio, FOX News Headlines 24/7, FOXNews.com and the direct-to-consumer streaming service, FOX Nation. FOX News also produces FOX News Sunday on FOX Broadcasting Company and FOX News Edge. A top five-cable network, FNC has been the most-watched news channel in the country for 17 consecutive years. According to a 2018 Research Intelligencer study by Brand Keys, FOX News ranks as the second most trusted television brand in the country. Additionally, a Suffolk University/USA Today survey states Fox News is the most trusted source for television news or commentary in the country, while a 2017 Gallup/Knight Foundation survey found that among Americans who could name an objective news source, FOX News is the top-cited outlet. FNC is available in nearly 90 million homes and dominates the cable news landscape while routinely notching the top ten programs in the genre. Subscribe to Fox News!  https://bit.ly/2vBUvASWatch more Fox News Video: http://video.foxnews.comWatch Fox News Channel Live: http://www.foxnewsgo.com/Watch full episodes of your favorite showsThe Five: http://video.foxnews.com/playlist/lon...Special Report with Bret Baier: http://video.foxnews.com/playlist/lon...The Story with Martha MacCallum: http://video.foxnews.com/playlist/lon...Tucker Carlson Tonight: http://video.foxnews.com/playlist/lon...Hannity:  http://video.foxnews.com/playlist/lon...The Ingraham Angle: http://video.foxnews.com/playlist/lon...Fox News @ Night: http://video.foxnews.com/playlist/lon... Follow Fox News on Facebook: https://www.facebook.com/FoxNews/Follow Fox News on Twitter: https://twitter.com/FoxNews/Follow Fox News on Instagram: https://www.instagram.com/foxnews/","1,607",PT10M11S,News & Politics,jmghNve6QFY,323,"39,733",20,Tucker: Some lockdown lawmakers want to stamp out dissent,2020-04-20,1103438,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre.",4223231321,0,4950000,False,64122
CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,/channel/UCvJJ_dzjViJCoLf5uKUTwoA,2018-02-26,"Warren Buffett, Berkshire Hathaway chairman and CEO, talks about volatility in the market, the value of American business and what to look for when investing.For more of Warren Buffett's wit and wisdom visit https://Buffett.CNBC.com» Subscribe to CNBC: http://cnb.cx/SubscribeCNBCAbout CNBC: From 'Wall Street' to 'Main Street' to award winning original documentaries and Reality TV series, CNBC has you covered. Experience special sneak peeks of your favorite shows, exclusive video and more.Connect with CNBC News OnlineGet the latest news: http://www.cnbc.com/Find CNBC News on Facebook: http://cnb.cx/LikeCNBCFollow CNBC News on Twitter: http://cnb.cx/FollowCNBCFollow CNBC News on Google+: http://cnb.cx/PlusCNBCFollow CNBC News on Instagram: http://cnb.cx/InstagramCNBCWarren Buffett: Just Looking At The Price Is Not Investing | CNBC",585,PT13M6S,News & Politics,Qm0jktMIYlk,2312,"14,812",20,Warren Buffett: Just Looking At The Price Is Not Investing | CNBC,2018-02-26,1576829,"Welcome to the official YouTube channel for CNBC. From 'Wall Street' to 'Main Street' to award winning original documentaries and Reality TV series, CNBC has you covered. Experience special sneak peeks of your favorite shows, exclusive video and more.

For real-time news updates from around the world, visit: http://www.cnbc.com

For CNBC's primetime TV lineup, visit http://tv.cnbc.com

For CNBC's International YouTube channel, visit: http://www.youtube.com/cnbcinternational",544640659,0,1560000,False,14031
MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,/channel/UCaXkIU1QidjPwiAYu6GcHjg,2020-02-28,"While fears and the number of coronavirus cases keep growing, Trump held a rally and Mike Pence - who the president put in charge of the government's response - held a fundraiser. Aired on 02/28/20.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump Calls Coronavirus Fear The Dems' 'New Hoax' As More Cases Confirmed | The 11th Hour | MSNBC","1,430",PT7M16S,News & Politics,bgbd9_jlALk,7,"7,058",20,Trump Calls Coronavirus Fear The Dems' 'New Hoax' As More Cases Confirmed | The 11th Hour | MSNBC,2020-02-28,741355,"The official MSNBC YouTube Channel. MSNBC  is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC  offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Sign up for newsletters!: MSNBC.com/NewslettersYouTube",3390298541,0,2940000,False,29099
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,/channel/UChDKyKQ59fYz3JO2fl0Z6sg,2020-02-29,"Health officials say three new patients have reportedly contracted coronavirus in California, Oregon and Washington. This comes as President Donald Trump cast doubt on the coronavirus outbreak in the U.S. and suggested Democrats were exaggerating the disease’s threat. NBC’s Gadi Schwartz and Hans Nichols report for Weekend TODAY, and Dr. Anthony Fauci joins for analysis.» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY» Watch the latest from TODAY: http://bit.ly/LatestTODAYAbout: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.  Connect with TODAY Online!Visit TODAY's Website: http://on.today.com/ReadTODAYFind TODAY on Facebook: http://on.today.com/LikeTODAYFollow TODAY on Twitter: http://on.today.com/FollowTODAYFollow TODAY on Instagram: http://on.today.com/InstaTODAYFollow TODAY on Pinterest: http://on.today.com/PinTODAY#Coronavirus #TodayShowTrump Calls Coronavirus A ‘Hoax’ As Potential ‘Community Spread’ Cases Rise | TODAY","2,616",PT10M5S,News & Politics,ELOZ6fU20Sk,2,"3,730",20,Trump Calls Coronavirus The Democrats' ‘New Hoax’ As Potential ‘Community Spread’ Cases Rise | TODAY,2020-02-29,623646,"TODAY brings you the latest headlines and expert tips on parenting, food, home, style, and health and wellness.",1486189172,0,2080000,False,14160
thechesswebsite,UCHz5JQAUSkjxrosDIWCtEdw,/channel/UCHz5JQAUSkjxrosDIWCtEdw,2010-07-18,"In the Chess Game of the Century, a 13 yr old Bobby Fischer showed the world that he was going to be a force in the chess world.  Enjoy the commentary and the game.Be sure to check out more analysis at http://www.thechesswebsite.comThe software in the video can be found at http://www.chesscentral.com and http://www.chessok.com","1,835",PT24M53S,Education,M624T3PTggU,43,"36,782",19,Game of the Century - Bobby Fischer vs Donald Byrne,2010-07-18,4201668,"All chess videos are brought to you by thechesswebsite.com.


From an early age I started playing chess.  Once I began to get older I played competitively on a regular basis.  Since I first learned how to play chess, I have learned many things, some basic and some advanced.  All that I have learned I hope to teach through YouTube.  

Feel free to let me know if there are any videos in particular that you would like me to make.  Thanks!

Be sure to visit www.thechesswebsite.com to see more chess discussion and strategy.

I also have another channel www.youtube.com/themathworld

Username on chess.com: thechesswebsite",83062218,0,419000,False,396
PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,2018-09-28,"""I know I am a single, white male from South Carolina and I'm told I should shut up, but I will not shut up if that's OK,"" Republican Sen. Lindsey Graham said as the Senate Judiciary Committee prepared to vote on embattled Supreme Court nominee Brett Kavanaugh. In a more measured tone than his emotional delivery during Thursday's charged hearing, Graham said ""count me in"" when it comes to listening to women who have been victimized. But on Kavanaugh, Graham said that the intense scrutiny on the nominee has hasn't turned up a portrait of the judge as a ""gang rapist."" ""We didn't miss it; it's a bunch of garbage.""Find more from PBS NewsHour at https://www.pbs.org/newshourSubscribe to our YouTube channel: https://bit.ly/2HfsCD6Follow us:Facebook: http://www.pbs.org/newshourTwitter: http://www.twitter.com/newshourInstagram: http://www.instagram.com/newshourSnapchat: @pbsnewsSubscribe:PBS NewsHour podcasts: https://www.pbs.org/newshour/podcastsNewsletters: https://www.pbs.org/newshour/subscribe",277,PT15M1S,News & Politics,KxAWCiPNkh0,8141,"2,736",20,Graham on Kavanaugh: 'Never heard a more compelling defense' in my life,2018-09-28,211797,PBS NewsHour is one of the most trusted news programs in television and online.,873986814,0,1800000,False,29860
The Daily Show with Trevor Noah,UCwWhs_6x42TyRM4Wstoq8HA,/channel/UCwWhs_6x42TyRM4Wstoq8HA,2020-05-03,"This week’s good news: digital proms, the Pentagon confirms UFOs, and essential worker action figures. #DailyShow #TrevorNoah #CoronavirusDonate to help communities around the world rebuild and recover: https://www.dailyshow.com/Internation...Subscribe to The Daily Show:https://www.youtube.com/channel/UCwWh... Follow The Daily Show:Twitter: https://twitter.com/TheDailyShowFacebook: https://www.facebook.com/thedailyshowInstagram: https://www.instagram.com/thedailyshowWatch full episodes of The Daily Show for free: http://www.cc.com/shows/the-daily-sho...Follow Comedy Central:Twitter: https://twitter.com/ComedyCentralFacebook: https://www.facebook.com/ComedyCentralInstagram: https://www.instagram.com/comedycentralAbout The Daily Show:Trevor Noah and The Daily Show correspondents tackle the biggest stories in news, politics and pop culture.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.",78,PT18M31S,Comedy,_g7SjfKLIRQ,1422,"3,012",20,This Week’s Good News | The Daily Social Distancing Show,2020-05-03,30890,"The Daily Show is an Emmy and Peabody Award-winning program that looks at the day's top headlines through a sharp, reality-based lens. Along with the help of The World's Fakest News Team, Trevor Noah covers the biggest news stories in politics, pop culture and more.

The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.",2802360663,0,7330000,False,2261
Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,2020-04-28,"@Al Jazeera English,  we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story and giving a 'voice to the voiceless'.Reaching more than 270 million households in over 140 countries across the globe, our viewers trust Al Jazeera English to keep them informed, inspired, and entertained. Our impartial, fact-based reporting wins worldwide praise and respect. It is our unique brand of journalism that the world has come to rely on.We are reshaping global media and constantly working to strengthen our reputation as one of the world's most respected news and current affairs channels.Subscribe to our channel: http://bit.ly/AJSubscribeFollow us on Twitter: https://twitter.com/AJEnglishFind us on Facebook: https://www.facebook.com/aljazeeraCheck our website: http://www.aljazeera.com/#AlJazeeraEnglish #BreakingNews#AlJazeeraLive",538,PT0M0S,News & Politics,30qZjexZ8bQ,522,"4,057",20,🔴 Al Jazeera English | Live,2020-04-28,1027224,"#AlJazeeraEnglish, we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story and giving a 'voice to the voiceless.'

Reaching more than 282 million households in over 140 countries across the globe, our viewers trust #AlJazeeraEnglish to keep them informed, inspired, and entertained.

Our impartial, fact-based reporting wins worldwide praise and respect. It is our unique brand of #journalism that the world has come to rely on.

We are reshaping global media and constantly working to strengthen our reputation as one of the world's most respected #news and #CurrentAffairs channels.",1799708305,0,5110000,False,85727
StarTalk,UCqoAEDirJPjEUFcF2FklnBA,/channel/UCqoAEDirJPjEUFcF2FklnBA,2020-04-30,"This episode was recorded on April 23, 2020. Note – This episode contains factual discussions of the ongoing COVID-19 pandemic and may contain certain topics and discussion of statistics and information that might cause distress.On this episode of StarTalk Radio, Neil deGrasse Tyson gets and update on the ever-evolving COVID-19 pandemic from Dr. Irwin Redlener, Director of the National Center for Disaster Preparedness. To start, you’ll learn what constitutes a “pandemic.” Irwin tells us about the difference between “physical distancing” and “social distancing.” He explains why we want to be physically distant but remain socially together. You’ll learn more about pandemic modeling and projections. We investigate the importance of “contact tracing.” And, Irwin explains why we have to be careful when discussing “small” percentage changes.Discover more about the possibilities of a second and third wave of the outbreak. We explore why a rush back to open things is concerning. Irwin shares his thoughts on the death rate during the pandemic and why there might be severe undercounting. We also investigate statistics coming from other countries and if there’s any reason to not believe the reports. Lastly, we find out what the United States did wrong that lead to the mishandling of early preventative steps. We also explore what other countries have been doing right to flatten the curve. You’ll hear how policy evolves throughout a crisis and how the public should react to constant flipflopping of messaging. All that, plus, Irwin leaves us with a message of hope for the future.Support us on Patreon: https://www.patreon.com/startalkradioSubscribe to StarTalk: https://www.youtube.com/user/startalk...About the prints that flank Neil in this video:""Black Swan” & ""White Swan"" limited edition serigraph prints by Coast Salish artist Jane Kwatleematt Marston.  Please visit Inuit Gallery of Vancouver, https://inuit.com/ for more information about this artist and her work.Follow StarTalk:Twitter: http://twitter.com/startalkradioFacebook: https://www.facebook.com/StarTalkInstagram: https://www.instagram.com/startalkradio/About StarTalk: Science meets pop culture on StarTalk! Astrophysicist & Hayden Planetarium director Neil deGrasse Tyson, his comic co-hosts, guest celebrities & scientists discuss astronomy, physics, and everything else about life in the universe. Keep Looking Up!#StarTalk #NeildeGrasseTyson",149,PT42M48S,Science & Technology,EUS_qi6BvUQ,3322,"4,315",20,"StarTalk Podcast: COVID-19 Update, with Neil deGrasse Tyson",2020-04-30,128539,"Science meets pop culture on StarTalk! Astrophysicist & Hayden Planetarium director Neil deGrasse Tyson, his comic co-hosts, guest celebrities & scientists discuss astronomy, physics, and everything else about life in the universe. Keep Looking Up!",58866248,0,941000,False,465
