"","binary","title","description","channel","id"
"11",0,"Watch the Latest News Headlines and Live Events — ABC News Live","#georgefloyd #georgefloydprotests #minneapolis #abcnewsliveLATEST NEWS: https://abcnews.go.com/SUBSCRIBE to ABC News on YouTube: https://bit.ly/2vZb6yPFollow us on Instagram: https://www.instagram.com/abcnews/Follow us on Twitter: https://twitter.com/abcLike us on Facebook: https://www.facebook.com/ABCNews","ABC News","w_Ma8oQLmSM"
"12",0,"Ex-police officer charged in George Floyd’s death faces judge | WNT","A judge set Derek Chauvin's bail for the second-degree murder case at $1.25 million as a lawyer for one of the officers charged with aiding and abetting placed blame on the veteran officer.WATCH THE FULL EPISODE OF 'WORLD NEWS TONIGHT':https://bit.ly/2A7xtF3WATCH OTHER FULL EPISODES OF WORLD NEWS TONIGHT:http://abc.go.com/shows/world-news-to...WATCH WORLD NEWS TONIGHT ON HULU:https://hulu.tv/33iKepm#WorldNewsTonight #DerekChauvin #GeorgeFloyd","ABC News","DbOmaE3jaBA"
"13",0,"Man jailed at age 11 for a murder he says he didn't commit speaks out","21-year-old Jordan Brown talks for the first time about going to jail as a boy for a crime he says he didn't commit in an interview with ABC News' Juju Chang.","ABC News","QzcIf-pRe-4"
"14",0,"Babysitter sentenced to 15 years in prison","Babysitter Alexis Sexton admitted she intentionally hurt children","ABC News","_ooFPizlfkw"
"15",0,"George Floyd’s death reopens old wounds of similar police-involved incidents | Nightline","Protests erupted after video was released of the incident. Those who knew Floyd best speak about the person he was.WATCH NIGHTLINE EPISODES:https://abc.go.com/shows/nightline ALSO AVAILABLE ON HULU: https://hulu.tv/2wSmSrZ#Nightline #GeorgeFloyd #BLACKLIVESMATTER #UNARMED #Minneapolis #Police #Protest #JusticeForGeorge","ABC News","cmCyu_DaMYw"
"16",0,"Slender Man Stabbing Survivor's Remarkable Recovery | Nightline | ABC News","For the first time, the Leutners talk about the horrific day their 12-year-old daughter was stabbed 19 times., and how she is recovering from the traumatic injuries. Her friends are accused of stabbing her to please ""Slenderman"", the internet hoax. SUBSCRIBE for the latest news and updates from ABC News ► http://www.youtube.com/subscription_c...Watch more news stories from ABC News!Feel Good ►  https://www.youtube.com/watch?v=IVGAI... Slender Man Chronicles ►  https://www.youtube.com/watch?v=bxtIy...Follow ABC News across the web!Facebook: http://www.facebook.com/abcnews Twitter: http://twitter.com/ABCInstagram: https://instagram.com/ABCNews/ From internet hoax to urban legend to real life danger, ABC News has your coverage of the Slender Man saga. The chilling tale began with two 12-year-old girls who stabbed a classmate 19 times in the woods of Waukesha, Wisconsin while at a sleepover. The girls claim they were trying to please the online demonic creature, Slender Man. See the slender man interrogation, and interviews surrounding the slender man stabbing case. Originating as an internet meme Slender Man is a fictional character known for his tall and thin stature, featureless face that appears from myth to abduct and traumatize those that summon him through the Slender Man game. Stay tuned for all the updates on the slender man stabbing, and how slenderman turned from an urban myth to an internet meme and now cult phenomena. Nightline is a 30 minute late-night news program currently airing weeknights on ABC at 12:35am | 1:35am ET. Hosts Juju Chang, Dan Abrams and Dan Harris bring you in-depth reporting on the major stories, hot topics, and the day’s breaking news. You can catch Nightline everynight just after Jimmy Kimmel Live!  Make ABC News your daily news outlet for breaking national and world news, broadcast video coverage, and exclusive interviews that will help you stay up to date on the events shaping our world. ABC News’ show roster has both leaders in daily evening and morning programming. Kick start your weekday mornings with news updates from Good Morning America (GMA) and Sundays with This Week with George Stephanopoulos. Get your evening fix with 20/20, Nightline, and ABC World News Tonight. Head to abc.go.com for programming schedule and more information on ABC News.","ABC News","XQZzJpRWFCY"
"17",0,"Remembering George Floyd and his ties to Florida","Remembering George Floyd and his ties to Florida","ABC News","gjkt53WlguE"
"18",0,"Plea deal falls apart for ex-officer involved in George Floyd’s death | WNT","Former Minneapolis police officer Derek Chauvin angled to plead guilty on federal and civil rights charges for murdering Floyd.WATCH THE FULL EPISODE OF 'WORLD NEWS TONIGHT':https://bit.ly/30usoBlWATCH OTHER FULL EPISODES OF WORLD NEWS TONIGHT:http://abc.go.com/shows/world-news-to...WATCH WORLD NEWS TONIGHT ON HULU:https://hulu.tv/33iKepm#WorldNewsTonight #GeorgeFloyd #DerekChauvin #ICantBreathe #BlackLivesMatter","ABC News","AvbgWCGp93k"
"19",0,"Hasan Minhaj full White House Correspondents Dinner speech","The comedian and ‘Daily Show’ correspondent hosts the annual event, which will not be attended by President Donald Trump.SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://gma.yahoo.com/","ABC News","uDmSZX_zVuQ"
"20",0,"11-year-old arrested for his pregnant soon-to-be stepmother's murder: 20/20 Oct 19 Pt 1","WATCH THE FULL EPISODE OF 20/20:https://bit.ly/2Pekl6cTwenty-six-year-old Kenzie Houk had been shot in the back of the head, and police charged Jordan Brown, the son of Houk's fiance, for her murder.Part 2https://www.youtube.com/watch?v=uuqTJ... SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/","ABC News","TA6bvn9e8Oc"
"21",0,"Jordan Peterson Destroys Q&A | 25 February 2019","Monday, 25 February 2019Jordan Peterson join the live Q&A Panel with Alex Hawke, Terri Butler, Cathryn McGregor and Van Badham. For more from Q&A, click here: http://www.abc.net.au/qandaFollow us on Twitter: https://twitter.com/QandALike us on Facebook: https://www.facebook.com/abcqanda/Subscribe to us on YouTube: https://ab.co/2E3pCZ9Q&A is a television discussion program that focuses mostly on politics but ranges across all of the big issues that set Australians thinking, talking and debating.It is driven by interaction: Q&A provides a rare opportunity for Australian citizens to directly question and hold to account politicians and key opinion leaders in a national public forum and Q&A is broadcast live so that not only the studio audience but also the wider audience can get involved.We aim to create a discussion that is constructive, that reflects a diverse range of views and that provides a safe environment where people can respectfully discuss their differences.It’s impossible to represent every view on a single panel or in one audience but we’re committed to giving participants a fair go.In order to be as inclusive and diverse as possible, the program is presented from a range of locations around the country and all Australians are encouraged to get involved through social media as well as by joining the audience.This is an official Australian Broadcasting Corporation YouTube channel.","ABC News","TmNSlF7lcaw"
"22",0,"Transgender Parents Who Conceived Two Sons Naturally | 20/20 | ABC News","Bianca and Nick Bowser, who were born male and female, respectively, conceived their two sons naturally. While the couple both identify as transgender, they have not gone through gender reassignment -- which caused Nick to carry the pregnancies.SUBSCRIBE for the latest news and updates from ABC News ► http://www.youtube.com/subscription_c... To read the full story and others, visit http://www.abcnews.com Watch more news stories from ABC News!Transgender Stories ► https://www.youtube.com/watch?v=5E3ao...The Caitlyn Jenner Story ► https://www.youtube.com/watch?v=JaqLG...Follow ABC News across the web!Facebook: http://www.facebook.com/abcnews Twitter: http://twitter.com/ABCInstagram: https://instagram.com/ABCNews/ The LGBTQ community is becoming a more vocal minority, looking for equal treatment on issues from marriage equality to anti-discrimination in the workplace. Watch stories about how the lesbian, gay, bisexual, transgender, and queer population aims to address stigma, discrimination and prejudice. See stories of hate crimes, health disparities, and violence against their marginalized groups. Turn to ABC News for the latest gay news, breaking stories on transgenders, and discussions on gender dysphoria. Join the discussion and find more about issues of sexual orientation, gender inequality and gender identity. Stay up to date with these videos and view all photos and more with with ABC News.  20/20 , with the help of Elizabeth Vargas and David Muir, combines hard hitting investigative reports, compelling human interest pieces, and newsmaker interviews. A staple of primetime television on Friday nights for over 3 decades, 20/20 has remained a leader in American TV news magazines broadcasting on ABC. The in-depth story packages can be seen Friday nights at 10|9c.Make ABC News your daily news outlet for breaking national and world news, broadcast video coverage, and exclusive interviews that will help you stay up to date on the events shaping our world. ABC News’ show roster has both leaders in daily evening and morning programming. Kick start your weekday mornings with news updates from Good Morning America (GMA) and Sundays with This Week with George Stephanopoulos. Get your evening fix with 20/20, Nightline, and ABC World News Tonight with David Muir. Head to abc.go.com for programming schedule and more information on ABC News.","ABC News","WwuRSS2whTg"
"23",0,"Obama White House Correspondents Dinner 2016 | President Obama's FULL SPEECH","The president poked fun at himself and presidential candidates at his last White House Correspondent’s Dinner as commander-in-chief. SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://gma.yahoo.com/","ABC News","TO9d16c2XRM"
"24",0,"NYC protesters call cops on 2 men from Ohio armed with weapons","Authorities are praising the protesters whose tip helped police catch two men from Ohio, who were looking to incite violence in New York City . The driver of a car with Ohio license plates was spotted with a machete just blocks from a demonstration. And that's not all they found. Read more: https://7ny.tv/3762HZ0Check out more Eyewitness News - http://7ny.tv/2suJHTdNEW HERE? – Hi! We’re abc7NY, also known as Channel 7 on TV, home to Eyewitness News, New York’s Number 1 news.   We hope you love us on YouTube as much as you do on television!OUR SOCIAL MEDIA –FACEBOOK: https://www.facebook.com/ABC7NY/TWITTER: https://twitter.com/abc7nyINSTAGRAM: https://www.instagram.com/abc7ny/NEWS TIPS:Online: https://7ny.tv/36UsL9aPhone: 917-260-7700Email: abc7ny@abc.com#georgefloyd #georgefloydprotests #protesters","ABC11 Eyewitness News","XKs18tm2klY"
"25",0,"Protesters in Smithtown met by large group of counter-protesters","Protesters in Smithtown were met by a large group of counter protesters Sunday, as police tried to quell the tension and prevent violence.The counter protesters gathered along West Main Street and chanted things like ""USA!"" and ""All Lives Matter,"" and many said they were there to stand up for the lives of police officers.Insults flew from both sides of the protest, as police stood between the two sides. Video secured by Eyewitness News shows particularly heated moments as protesters and counter protesters tried to break through the police line to get at people on the other side.One protester reported to police that when he separated from the larger group, a man punched him in the head.More details: https://7ny.tv/2UpkghuCheck out more Eyewitness News - http://7ny.tv/2suJHTdNEW HERE? – Hi! We’re abc7NY, also known as Channel 7 on TV, home to Eyewitness News, New York’s Number 1 news.   We hope you love us on YouTube as much as you do on television!OUR SOCIAL MEDIA –FACEBOOK: https://www.facebook.com/ABC7NY/TWITTER: https://twitter.com/abc7nyINSTAGRAM: https://www.instagram.com/abc7ny/NEW TIPS:Online: https://7ny.tv/36UsL9aPhone: 917-260-7700Email: abc7ny@abc.com#abc7NY #longisland #georgefloyprotests","ABC11 Eyewitness News","ttIWUvxnuEo"
"26",0,"London: Man disrupts Black Lives Matter demo, kicks away protest signs at Churchill statue | AFP","A man kicks away and rips down protest signs placed on a statue of Winston Churchill by anti-racism demonstrators on the second day of weekend rallies against George Floyd's death. Protesters defaced the monument of the former British Prime Minister, spray painting the words ""was a racist"" under his name. Subscribe to AFP and activate your notifications to get the latest news 🔔http://www.youtube.com/channel/UC86db...","AFP News Agency","TFrX02KOa8c"
"27",0,"Colin Kaepernick, Amnesty International Ambassador of Conscience (full speech)","Colin Kaepernick gave a powerful speech in Amsterdam when he received Amnesty International's Ambassador of Conscience Award 2018. His former teammate and close friend, Eric Reid, was present at the ceremony and handed him the award.","Amnesty International","5B8VU3JykvI"
"28",0,"Jordan Peterson: From the Barricades of the Culture Wars","From the Aspen Ideas Festival, recorded Tuesday, June 26, 2018. Jordan Peterson, author of the best-selling 12 Rules for Life: An Antidote to Chaos, may be one of the most famous intellectuals in North America today. He also may be among the most misunderstood. His fans say that he’s saved their lives, and detractors say that he’s the gateway drug to the alt-right. Who is this psychologist-philosopher whom so many of us had never heard of two years ago, and what does he really believe?Featuring Jordan Peterson in conversation with Bari Weiss. Hosted in the St. Regis Hotel Ballroom, Aspen, Colorado.","Aspen Institute","v6H2HmKDbZA"
"29",0,"Slave trader’s statue toppled in Bristol as thousands join anti-racism protests - BBC News","Tens of thousands of people have taken part in more anti-racism protests across the UK —  with the statue of a 17th century slave trader pulled down in Bristol and dumped in the city's harbour.The monument to Edward Colston had stood in the city centre for more than a century.  Protests took place in several other parts of the UK, with thousands of people gathering at the US Embassy in London.The demonstrations follow the killing of George Floyd by US police in Minnesota, which has led to mass protests across the United States.The young organisers of today’s protests in the UK told the BBC they are the generation to bring about real change. In the past fortnight the Black Lives Matter hashtag has been used 40 million times on social media - and many people have shared their experiences of racism. Mishal Husain presents BBC News at Ten reports from Jon Kay in Bristol, Chi Chi Izundu, Rianna Croxford, Home Editor Mark Easton and Aleem Maqbool in Washington. Please subscribe HERE http://bit.ly/1rbfUog","BBC News","cs36SAytfuE"
"30",0,"Elon Musk: How I Became The Real 'Iron Man'","""Bloomberg Risk Takers"" profiles Elon Musk, the entrepreneur who helped create PayPal, built America's first viable fully electric car company, started the nation's biggest solar energy supplier, and may make commercial space travel a reality in our lifetime.----------Like this video? Subscribe to Bloomberg on YouTube: http://www.youtube.com/Bloomberg?sub_...Bloomberg is the First Word in business news, delivering breaking news & analysis, up-to-the-minute market data, features, profiles and more: http://www.bloomberg.comConnect with us on...Twitter: https://twitter.com/businessFacebook: https://www.facebook.com/bloombergbus...Instagram: https://www.instagram.com/bloombergbu...","Bloomberg","mh45igK4Esw"
"31",0,"Restaurant violations: Canada's Restaurant Secrets (CBC Marketplace)","Originally broadcast April 11, 2014When we're eating out, we expect the places that make our food to be as clean as possible. But almost two million of us get sick every year. What's happening behind the scenes?Marketplace goes undercover in some of your favourite chains to reveal Canada's Restaurant Secrets. We've pored over thousands of inspection reports from coffee shops, fast-food and family dining restaurants and we'll reveal who comes out on top. Celebrity chef Roger Mooking joins us for a crash course in kitchen hygiene.More from CBC Marketplace, Canada's top consumer affairs show:Watch episodes online at http://cbc.ca/marketplaceLike us on Facebook: http://facebook.com/cbcmarketplaceTalk to us on Twitter: http://twitter.com/cbcmarketplace Follow our hosts @cbctom and @cbcerica","CBC News","ghCOVjAILxo"
"32",0,"The National for Monday, May 11 — Two months into pandemic; Help for big business","Welcome to The National, the flagship nightly newscast of CBC News.»»» Subscribe to The National to watch more videos here:   https://www.youtube.com/user/CBCTheNa...Voice your opinion and connect with us online:Facebook | https://www.facebook.com/thenationalTwitter | https://twitter.com/CBCTheNationalInstagram | https://www.instagram.com/cbcthenational»»» »»» »»» »»» »»» The National is CBC Television's flagship news program, featuring the day's top stories with in-depth and original journalism.","CBC News","TLRTq-hYj40"
"33",0,"Chia, quinoa and coconut water: Testing ""superfoods"" (CBC Marketplace)","Superfoods: We test quinoa, chia and coconut water to see if the nutrition lives up to the health hype and the price tag.To read more: http://cbc.ca/1.4362487»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWSConnect with CBC News Online:For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iXFind CBC News on Facebook: http://bit.ly/1WjG36mFollow CBC News on Twitter: http://bit.ly/1sA5P9HFor breaking news on Twitter: http://bit.ly/1WjDyksFollow CBC News on Instagram: http://bit.ly/1Z0iE7ODownload the CBC News app for iOS: http://apple.co/25mpsUzDownload the CBC News app for Android: http://bit.ly/1XxuozZ»»»»»»»»»»»»»»»»»»For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","CBC News","3tzYUeoFuNw"
"34",0,"Why you're addicted to your smartphone (Marketplace)","Are you addicted to your smartphone? Companies are using science and artificial intelligence to keep you hooked, but tech insiders reveal how you can curb the urge to constantly stay connected.To read more: http://cbc.ca/1.4384876»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWSConnect with CBC News Online:For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iXFind CBC News on Facebook: http://bit.ly/1WjG36mFollow CBC News on Twitter: http://bit.ly/1sA5P9HFor breaking news on Twitter: http://bit.ly/1WjDyksFollow CBC News on Instagram: http://bit.ly/1Z0iE7ODownload the CBC News app for iOS: http://apple.co/25mpsUzDownload the CBC News app for Android: http://bit.ly/1XxuozZ»»»»»»»»»»»»»»»»»»For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","CBC News","ZFJUYS6wY7U"
"35",0,"Privacy and smartphone apps: What data your phone may be giving away (CBC Marketplace)","Your apps you could be giving companies permission to track your location, read all your texts, access your photos, microphone and camera. Watch more: https://www.youtube.com/watch?v=hOYLX... Get our newsletter http://cbc.ca/marketplace/watchdog Like us on Facebook: http://facebook.com/cbcmarketplace»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWSConnect with CBC News Online:For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iXFind CBC News on Facebook: http://bit.ly/1WjG36mFollow CBC News on Twitter: http://bit.ly/1sA5P9HFor breaking news on Twitter: http://bit.ly/1WjDyksFollow CBC News on Instagram: http://bit.ly/1Z0iE7ODownload the CBC News app for iOS: http://apple.co/25mpsUzDownload the CBC News app for Android: http://bit.ly/1XxuozZ»»»»»»»»»»»»»»»»»»For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","CBC News","xx1AUupLn2w"
"36",0,"Best before dates: How supermarkets tamper with your food (CBC Marketplace)","Supermarket insiders tell all and share common tricks some grocery stores use to give your favourite foods a second life. Watch more Marketplace videos here: https://www.youtube.com/watch?v=0Pi_S...Get our newsletter http://cbc.ca/marketplace/watchdogFacebook: http://facebook.com/cbcmarketplaceTwitter: http://twitter.com/cbcmarketplace Instagram: http://instagram.com/cbcmarketplaceFor more: http://www.cbc.ca/marketplace/episode...»»» Subscribe to CBC News to watch more videos:   https://www.youtube.com/user/cbcnews?...Connect with CBC News Online:For breaking news, video, audio and in-depth coverage: http://www.cbcnews.caFind CBC News on Facebook: https://www.facebook.com/cbcnewsFollow CBC News on Twitter: https://twitter.com/cbcnewsFor breaking news on Twitter: https://twitter.com/CBCAlertsFollow CBC News on Google+:  https://plus.google.com/+CBCNews/postsFollow CBC News on Instagram: http://instagram.com/cbcnewsFollow CBC News on Pinterest: https://www.pinterest.com/cbcnews//Follow CBC News on Tumblr: http://cbcnews.tumblr.com»»»»»»»»»»»»»»»»»»For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","CBC News","ZxCT_D6HBd8"
"37",0,"Fake online reviews: How easily can you buy a reputation? (CBC Marketplace)","Faking It | Originally broadcast November 7, 2014The better the reviews, the more we trust a business. And for companies that means a better bottom line. In a months-long investigation, we went undercover posing as a new business, and discover how companies can buy a positive reputation online.We reveal an entire industry devoted to helping businesses mislead you. Host Erica Johnson reveals how cheaters pull it off, and how you can spot a faker.More from CBC Marketplace, Canada's top consumer affairs show:Watch episodes online at http://cbc.ca/marketplaceLike us on Facebook: http://facebook.com/cbcmarketplaceTalk to us on Twitter: http://twitter.com/cbcmarketplace Follow our hosts @cbctom and @cbcerica","CBC News","3y0pYUdfGiw"
"38",0,"Full video: Trump-Clinton first presidential debate","Donald Trump and Hillary Clinton faced off in their first presidential debate at Hofstra University on Monday, Sept. 26. Watch the full debate.","CBS News","s7gDXtRS0jo"
"39",0,"Minneapolis Releases Names Of 4 Fired Police Officers","There was a call from Minneapolis Mayor Jacob Frey for the immediate arrest and charging of the officer who had his knee on George Floyd's neck for eight minutes, Amelia Santaniello reports (2:58). WCCO 4 News At 6 – May 27, 2020","CBS News","bSimvbJFllg"
