,channel,media,bias,similarity
132,The University of Chicago,The Times of America,Questionable,0.6222222222222222
133,UCD - University College Dublin,University Business,Left-Center,0.56
134,CBS Evening News,Bing News,Left-Center,0.72
135,TEDx Talks,The Hill Talk,Left-Center,0.5217391304347826
136,David Pakman Show,David Icke,Conspiracy-Pseudoscience,0.5185185185185185
137,KONCRETE Podcast,KONCRETE Podcast,Right,1.0
138,JARED LETO,LA Times,Left-Center,0.3333333333333333
139,WIRED UK,KIRO 7,Least Biased,0.42857142857142855
140,Democracy Now!,Democracy Now,Left,0.9629629629629629
141,Hot Ones,Nottnews,Satire,0.625
142,TODAY,TED,Left-Center,0.5
143,The Hill,The Hill,Least Biased,1.0
144,UNRISD,NPR,Left-Center,0.4444444444444444
145,DAI Heidelberg,Insider,Left-Center,0.47619047619047616
146,Rebel HQ,Reveal,Left-Center,0.5714285714285714
147,The Agenda with Steve Paikin,The Red Shtick,Satire,0.5238095238095238
148,Richard Nixon Foundation,Tax Foundation,Right-Center,0.6842105263157895
149,St Petersburg College,St. Pete for Peace,Left,0.5641025641025641
150,PacificJustice,Pacific Pundit,Questionable,0.6428571428571429
151,Yahoo,Yahoo News,Left-Center,0.6666666666666666
152,Hillsdale College,The College Fix,Right,0.5625
153,Pepperdine School of Public Policy,Mackinac Center for Public Policy,Right-Center,0.5671641791044776
154,How To Academy,Heterodox Academy,Right-Center,0.7096774193548387
155,EdChoice,US Chronicle,Questionable,0.6
156,The Institute of Art and Ideas,Institute for Humane Studies,Right-Center,0.5862068965517241
157,Discovery Science,Live Science,Pro Science,0.7586206896551724
158,John Anderson,The Advertiser,Right,0.5185185185185185
159,Dig And Delve,Nikkei Asian Review,Right-Center,0.5
160,criticofgames,Patriotic Millionaires,Left-Center,0.5142857142857142
161,Passion City Church,Rapid City Journal,Least Biased,0.5405405405405406
162,YOUR LIVING MANNA,IRIN News,Left-Center,0.38461538461538464
163,FOCLOnline,WalesOnline,Left-Center,0.5714285714285714
164,Alan Howard / JW3 Speaker Series,In Homeland Security,Right-Center,0.4230769230769231
165,The Rubin Report,The Rubin Report,Right,1.0
166,Jordan B Peterson,The Jordan Times,Least Biased,0.5454545454545454
167,Skavlan,Salon,Left,0.6666666666666666
168,Studio 10,Studio News Network,Questionable,0.5
169,Fringes,Bing News,Left-Center,0.625
170,Russell Brand,Gulag Bound,Conspiracy-Pseudoscience,0.5
171,Eric Weinstein,David Rubenstein,Right-Center,0.6
172,Lewis Howes,News Heist,Right-Center,0.6666666666666666
173,"PHP Agency, Inc.",Anadolu Agency,Right,0.4666666666666667
174,Sean Kim,Seattle Times,Left-Center,0.5714285714285714
175,Bloomberg Markets and Finance,Globe Magazine,Questionable,0.5116279069767442
176,Real Vision Finance,Resilience,Left,0.5517241379310345
177,The Brave Ones,The Beaverton,Satire,0.6666666666666666
178,CNA,CNN,Left,0.6666666666666666
179,FRONTLINE PBS | Official,KONCRETE Podcast,Right,0.4
180,Trevor Noah,Prop or Not,Conspiracy-Pseudoscience,0.5454545454545454
181,TED,TED,Left-Center,1.0
182,Web3 Foundation,Edge Foundation,Pro Science,0.8
183,Koncrete KLIPS,Wonkette,Left,0.45454545454545453
184,Inside True Crime,Insider,Left-Center,0.5833333333333334
185,Anthony Pompliano,Against Crony Capitalism,Right-Center,0.4878048780487805
186,Sky News Australia,ABC News Australia,Left-Center,0.8333333333333334
187,Cooking with Shotgun Red,Brookings Institute,Left-Center,0.5116279069767442
188,mediasanctuary,Americas Quarterly,Right-Center,0.5625
189,Independent Institute,The Independent Institute,Right-Center,0.9130434782608695
190,Serious Science,Skeptical Science,Pro Science,0.6875
191,Buon-A-Petitti,Connecticut Post,Left-Center,0.4666666666666667
192,Cooking with Pina,Brookings Institute,Left-Center,0.5
193,Carmelas Kitchen54,Dallas Voice,Left,0.5333333333333333
194,lil Piece of Hart * LOW CARB Cooking *,National Conference of State Legislatures,Least Biased,0.379746835443038
195,Maangchi,GMWatch,Conspiracy-Pseudoscience,0.5333333333333333
196,Exploring Alternatives,Modern Alternative Mama,Conspiracy-Pseudoscience,0.6666666666666666
197,Sailing SV Delos,Filming Cops,Left,0.5714285714285714
198,Miami,Mediaite,Left,0.6153846153846154
199,Our Journey In Myles,Our World In Data,Left-Center,0.5405405405405406
200,ABC News,ABC News,Left-Center,1.0
201,Roots and Refuge Farm,Crooks and Liars,Left,0.5405405405405406
202,California Garden TV,California Globe,Right-Center,0.7222222222222222
203,Nature's Always Right,Yes Iím Right,Questionable,0.5294117647058824
204,Sam Chui,Smirking Chimp,Left,0.5454545454545454
205,Wendover Productions,Wendover Productions,Left-Center,1.0
206,Women Behind Bars: Life And Death In Indiana,Science Based Medicine,Pro Science,0.42424242424242425
207,truly,truly,Left-Center,1.0
208,Loudwire,Louder with Crowder,Right,0.5925925925925926
209,TheNOFAVT,The Age,Left-Center,0.5
210,Rebel Wisdom,Republic World,Right-Center,0.5384615384615384
211,Tilo Jung,Daily Journal,Least Biased,0.5454545454545454
212,DurhamUniversity,DiversityInc,Left-Center,0.6428571428571429
213,ShirleyFilms,Viral Devil,Satire,0.5217391304347826
214,MIT Center for International Studies,Center for Immigration Studies,Questionable,0.7878787878787878
215,Canberra,Change.org,Left,0.5555555555555556
216,Charisma on Command,Christian Today,Right,0.5882352941176471
217,Jeremy Vine on 5 - Official Channel,Canadian Public Affairs Channel,Least Biased,0.45454545454545453
218,Centre for International Governance Innovation,Center for International Policy,Left-Center,0.6753246753246753
219,Extinction Rebellion,Washington Babylon,Left,0.5263157894736842
220,Toronto Public Library,Public Library of Science,Pro Science,0.5957446808510638
221,FRANCE 24 English,Now The End Begins,Conspiracy-Pseudoscience,0.45714285714285713
222,Vox,Vox,Left,1.0
223,Southern California,The Southern Illinoisan,Least Biased,0.6190476190476191
224,Aviation World,National Journal,Least Biased,0.6
225,Micah Muzio,Medical Medium,Conspiracy-Pseudoscience,0.56
226,Z88,TMZ,Left-Center,0.3333333333333333
227,Jerry White,Angry White Men,Left,0.6153846153846154
228,Pilot Bambi,Patriot Beat,Questionable,0.6086956521739131
229,Bermuda,Brampton Guardian,Left-Center,0.5
230,Air-Clips.com,Apost.com,Conspiracy-Pseudoscience,0.6363636363636364
231,ProducerMichael,Pro-America News,Questionable,0.5806451612903226
232,Hashiroyaa,Washingtonian,Left,0.5217391304347826
233,Dj's Aviation,The Nation,Left,0.5217391304347826
234,World Top ONE,World News,Least Biased,0.6086956521739131
235,AviationHub,iPatriot,Right,0.5263157894736842
236,The B1M,The BMJ,Pro Science,0.8571428571428571
237,The Daily Conversation,The Conversation,Least Biased,0.8421052631578947
238,the Luxury Travel Expert,The Saturday Paper,Left-Center,0.5238095238095238
239,Eddie Khoo,Edge Foundation,Pro Science,0.48
240,JOALI Maldives,Open Magazines,Questionable,0.5
241,Mr. Luxury,Dr. Axe,Conspiracy-Pseudoscience,0.47058823529411764
242,RealLifeLore,Healio,Pro Science,0.5555555555555556
243,ABC Science,ZME Science,Pro Science,0.7272727272727273
244,TinHatRanch,Twitchy,Right,0.5555555555555556
245,Duet Justus,Left Justified,Left-Center,0.56
246,Undecided with Matt Ferrell,Media Matters,Left,0.5
247,Subject Zero Science,Society for Science,Pro Science,0.6666666666666666
248,Warren Redlich,Free Republic,Right,0.5925925925925926
249,Spacex,Space.com,Pro Science,0.6666666666666666
250,Lectures by Walter Lewin. They will make you ♥ Physics.,National Institute on Money in State Politics,Least Biased,0.38
251,Pask Makes,Paste Magazine,Left,0.5833333333333334
252,King's Fine Woodworking,Big News Network,Least Biased,0.46153846153846156
253,WOOD magazine,Out Magazine,Left,0.72
254,Aspiring Craftsman,Austin American-Statesman,Left-Center,0.5581395348837209
255,Rex Krueger,Red Pepper,Left,0.5714285714285714
256,5 Levels,No Labels,Least Biased,0.5882352941176471
257,DW Documentary,Law Enforcement Today,Right,0.5142857142857142
258,MIT Venture Capital & Innovation,The Century Foundation,Left-Center,0.5185185185185185
259,Real Engineering,GeoEngineering Watch,Conspiracy-Pseudoscience,0.6666666666666666
260,fullychargedshow,Bullshido,Least Biased,0.48
261,Naked Science,Live Science,Pro Science,0.72
262,Dalibor Farný,Baltimore Sun,Left-Center,0.5384615384615384
263,Perimeter Institute for Theoretical Physics,Peterson Institute for International Economics,Least Biased,0.6741573033707865
264,Food Insider,Insider,Left-Center,0.7368421052631579
265,Khaleej Times,The Times,Satire,0.7272727272727273
266,Chris Flaten,Charisma News,Conspiracy-Pseudoscience,0.56
267,Wall Street Journal,Wall Street Journal,Right-Center,1.0
268,MLive,MLive,Least Biased,1.0
269,The View,The News,Least Biased,0.75
270,OWN,WNYC,Left-Center,0.5714285714285714
271,The New York Times,New York Times,Left-Center,0.875
272,WXYZ-TV Detroit | Channel 7,WSAZ News Channel,Least Biased,0.5454545454545454
273,criminals and crime fighters,Journal Politics and Society,Left-Center,0.5
274,Death Row: Inside Indiana State Prison,National Institute on Money in State Politics,Least Biased,0.5542168674698795
275,SecretWhispersOfCrime,DC Whispers,Right,0.5
276,Nicolas Lepage,Nova Magazine,Left,0.5185185185185185
277,True Crime Daily,The Courier Mail,Right-Center,0.6875
278,Merc,Mercola,Conspiracy-Pseudoscience,0.7272727272727273
279,depisicableboy676,Medical News Today,Pro Science,0.45714285714285713
280,Real Stories,Lead Stories,Least Biased,0.8333333333333334
281,Real Families,Vera Files,Least Biased,0.6956521739130435
282,NBC Left Field,Deep Left Field,Questionable,0.7586206896551724
283,NETNebraska,NTK Network,Right,0.5454545454545454
284,Curious,Curiosity.com,Least Biased,0.6
285,Origin,Highline,Left-Center,0.5714285714285714
286,Attitude,ACNLatitudes,Conspiracy-Pseudoscience,0.7
287,ICallsEmLikeISeesEm,InsideSources,Right-Center,0.4375
288,darkdocumentaries,Frontiers,Pro Science,0.5384615384615384
289,Christopher Johnson,Mother Jones,Left-Center,0.5806451612903226
290,Jesusmalaark11,Jesus Daily,Conspiracy-Pseudoscience,0.56
291,MsMojo,Ms.,Left,0.4444444444444444
292,Karol Andy,Anadolu Agency,Right,0.5833333333333334
293,judgejudyhighlights7,FivethirtyEight,Left-Center,0.4
294,Mow 1567,Moscow Times,Left-Center,0.4
295,Spencer Lent,Science Debate,Least Biased,0.6153846153846154
296,Viral Now,Viral Cords,Satire,0.7
297,Dr. Phil,Dr. Axe,Conspiracy-Pseudoscience,0.5333333333333333
298,MTV Catfish,Climatism,Conspiracy-Pseudoscience,0.5
299,WatchMojo.com,CalWatchdog.com,Left-Center,0.7142857142857143
300,WinFail Compilations,American Family Association,Questionable,0.5957446808510638
301,43Kouta,Kotaku,Left-Center,0.6153846153846154
302,FactFaction,FactsCan,Least Biased,0.631578947368421
303,Comedy Central,Comedy Central,Left-Center,1.0
304,Nicki Swift,MediaShift,Least Biased,0.47619047619047616
305,Reelmen Films,Vera Files,Least Biased,0.5217391304347826
306,WORLD Channel,WSAZ News Channel,Least Biased,0.6
307,American Diabetes Association,American Family Association,Questionable,0.7857142857142857
308,Sonnie Veldhuis,Stone Cold Truth,Questionable,0.5161290322580645
309,Alamo YTC Germany,Brampton Guardian,Left-Center,0.47058823529411764
310,MDA Telethon,USA Television,Questionable,0.6153846153846154
311,TeeVees Greatest,The Greanville Post,Conspiracy-Pseudoscience,0.5714285714285714
312,Anand Naidoo,Amandla,Left,0.5263157894736842
313,FiveGames,Firearms News,Right-Center,0.6363636363636364
314,Tom Gameplay,La Stampa,Left-Center,0.47619047619047616
315,Android Gameplay,One Angry Gamer,Right,0.5161290322580645
316,FandangoNOW Extras,Financal Express,Least Biased,0.5294117647058824
317,TouchTapGameplay,The Epoch Times,Right,0.45161290322580644
318,Daylins Funhouse,Breaking News House,Questionable,0.5142857142857142
319,New York City,New York Post,Right-Center,0.7692307692307693
320,Nik Rijavec,Daily Maverick,Least Biased,0.48
321,Tod's Workshop,How Stuff Works,Pro Science,0.4827586206896552
322,Nicole Michael,No Labels,Least Biased,0.5217391304347826
323,mylittlehomestead,Seattle Times,Left-Center,0.4666666666666667
324,relaxshacksDOTcom,CrossCut.com,Left-Center,0.41379310344827586
325,Living Big In A Tiny House,Living Whole,Conspiracy-Pseudoscience,0.47368421052631576
326,My Self Reliance,Resilience,Left,0.5384615384615384
327,Greenbrier Bushcraft,Greenville Gazette,Left,0.5263157894736842
328,Off Grid Athlete,One Green Planet,Left,0.5
329,KCETOnline,WalesOnline,Left-Center,0.5714285714285714
330,Cherzo,Cerno,Questionable,0.7272727272727273
331,dreamlivingLA,Feministing,Left,0.5
332,Lumnah Acres,La Presse,Left-Center,0.5714285714285714
333,dekor20,Adweek,Least Biased,0.46153846153846156
334,James Bruno,Jackson Sun,Least Biased,0.5454545454545454
335,Theodosis Roussos,The Root,Left,0.56
336,ShelterMode,Alternet,Left,0.5263157894736842
337,Penniac Wilderness,The Wilderness Society,Left-Center,0.6
338,Full Send Alaskan Overland,Wings Over Scotland,Left-Center,0.4888888888888889
339,Marshall Remodel,Mashable,Left,0.5833333333333334
340,Michigan Backwoods,Maine Beacon,Left-Center,0.5333333333333333
341,Tofua,TooFab,Questionable,0.5454545454545454
342,Taras Kul,Tarbell,Left-Center,0.5
343,Reallybigmonkey1,RealClimate,Pro Science,0.5925925925925926
344,The Outsider,The Outline,Left,0.782608695652174
345,Southern Indiana Living and Sawmill,Northwest Indiana Times,Least Biased,0.5172413793103449
346,Red Poppy Ranch,Red Pepper,Left,0.56
347,Gone with the Wynns,News with Views,Questionable,0.5294117647058824
348,The O'Kelly's,The Delorables,Questionable,0.5925925925925926
349,Bocas del Toro,Politics and Prose,Left-Center,0.5
350,USA TODAY Life,USA Public Life,Questionable,0.6206896551724138
351,Tikki O.,Timeline,Left-Center,0.375
352,patchtoplate,Patriot Update,Questionable,0.5384615384615384
353,LANDiO,LADbible,Questionable,0.5714285714285714
354,cmdealernet,Alternet,Left,0.631578947368421
355,UAFExtension,Fusion,Left-Center,0.5555555555555556
356,Pete Kanaris GreenDreamsFL,Chattanooga Times Free Press,Least Biased,0.48148148148148145
357,Justin Rhodes,Just the News,Right,0.6153846153846154
358,BuzzFeed Multiplayer,Buzzfeed,Left-Center,0.5
359,JFK Assassination History,Assassination Science,Conspiracy-Pseudoscience,0.6521739130434783
360,CBS Sunday Morning,Sunday Sport,Satire,0.6
361,Chromosome8,Common Cause,Left-Center,0.5217391304347826
362,Cambridge University,Cambridge Analytica,Right,0.6153846153846154
363,The First World War,The World Canít Wait,Left,0.6153846153846154
364,Timeline - World History Documentaries,Science History Institute,Pro Science,0.47619047619047616
365,YouTube Originals,Ancient Origins,Conspiracy-Pseudoscience,0.5625
366,Sky News,Sky News,Least Biased,1.0
367,ARD,Al DIA,Left,0.4444444444444444
368,euronews (in English),Answers in Genesis,Conspiracy-Pseudoscience,0.5128205128205128
369,China in Focus - NTD,Foreign Policy in Focus,Left-Center,0.5116279069767442
370,Learn English with Gill (engVid),News with Views,Questionable,0.425531914893617
371,Vincent Racaniello,Voice of San Diego,Least Biased,0.5555555555555556
372,10 Downing Street,The Morning Star,Left,0.6060606060606061
373,HuffPost UK,Huffington Post,Left,0.6153846153846154
374,Saint Louis Chess Club,The Laugh Club,Questionable,0.5
375,Школа Шахмат ChessMaster,The Chaser,Satire,0.4117647058823529
376,Balkan chess,Balkan Insight,Left-Center,0.6153846153846154
377,Libya,Liberty Nation,Right,0.5263157894736842
378,Insider,Insider,Left-Center,1.0
379,True Stories,Lead Stories,Least Biased,0.75
380,Mark Shaw,Hard Dawn,Satire,0.5555555555555556
381,Experience Egypt,Experience Awareness,Questionable,0.6111111111111112
382,History Buffs,History News Network,Left-Center,0.5454545454545454
383,vito iacopelli,Egberto Willies,Left,0.4827586206896552
384,Italia Squisita,Inquisitr,Left-Center,0.5833333333333334
385,The Pizza Show,The Shovel,Satire,0.5833333333333334
386,American Masters PBS,American News X,Left,0.6857142857142857
387,Rockin Robin Cooks,Talking Points Memo,Left,0.4864864864864865
388,HomeyCircle,Comedy Central,Left-Center,0.56
389,Timothy Schweitzer,The Scientist,Pro Science,0.5161290322580645
390,Ahlulbayt TV,Al-Hayat,Left-Center,0.5
391,SpicesNFlavors,Skeptical Raptor,Pro Science,0.5333333333333333
392,California,California Globe,Right-Center,0.7692307692307693
393,Latifs Inspired,Autism Investigated,Conspiracy-Pseudoscience,0.5882352941176471
394,My Name Is Andong,Mehr News Agency,Questionable,0.48484848484848486
395,OrsaraRecipes,Stars and Stripes,Least Biased,0.5333333333333333
396,Aashpazi.com,SwampDrain.com,Questionable,0.6153846153846154
397,Handy cook,Hannity.com,Questionable,0.5714285714285714
398,Dot2Trot's Low Carb Living,Front Page Live,Left,0.43902439024390244
399,Cooking with Mitisha,Exposing the Truth,Left-Center,0.5263157894736842
400,Sailing Nahoa,Filming Cops,Left,0.56
401,Monday Never,Monthly Review,Left-Center,0.6153846153846154
402,ideacity,Federalist Society,Right,0.5384615384615384
403,Erik Aanderaa,Amandla,Left,0.5
404,Minds Eye Design,MindBodyGreen,Conspiracy-Pseudoscience,0.5517241379310345
405,AQUAHOLIC,AOL,Left-Center,0.5
406,TheYachtGuy Official,The Sociable,Least Biased,0.5
407,Yachts For Sale,Places Journal,Least Biased,0.5517241379310345
408,Drivin' and Vibin',Enduring Vision,Satire,0.48484848484848486
409,"You, Me & the RV",Youth Radio,Left-Center,0.5185185185185185
410,Changing Lanes,The Waking Times,Conspiracy-Pseudoscience,0.5333333333333333
411,Moving Forward Adventures,Moving Left,Questionable,0.5
412,SB Nation,LGBTQ Nation,Left,0.7619047619047619
413,IV Organic,Organic Facts,Conspiracy-Pseudoscience,0.6086956521739131
414,Arms Family Homestead,Austin Daily Herald,Left-Center,0.6
415,San Diego,San Diego Reader,Left-Center,0.72
416,Mike Kincaid,Malaysiakini,Left-Center,0.5
417,MIgardener,Z Magazine,Left,0.5
418,Gardener Scott,Awareness Act,Conspiracy-Pseudoscience,0.5925925925925926
419,Self Sufficient Me,Skeptical Science,Pro Science,0.5714285714285714
420,Scott Head,Boston Herald,Right-Center,0.6086956521739131
421,The Gardening Channel With James Prigioni,The Palestine Chronicle,Left,0.46875
422,Movieclips,Mothership,Left-Center,0.5
423,BBC,CNBC,Left-Center,0.5714285714285714
424,Los Angeles Times,Los Angeles Daily News,Right-Center,0.7692307692307693
425,SixthFloorMuseum,Healthy Food House,Conspiracy-Pseudoscience,0.47058823529411764
426,The City of Irving,The Citizen,Left-Center,0.6206896551724138
427,BuzzFeedVideo,Buzzfeed,Left-Center,0.6666666666666666
428,djvlad,Canadaland,Left-Center,0.5
429,Technique Critique,The Citizen,Left-Center,0.6206896551724138
430,JCS - Criminal Psychology,Frontiers in Psychology,Pro Science,0.5833333333333334
431,Newshub,Newsbud,Conspiracy-Pseudoscience,0.7142857142857143
432,Grace John,Places Journal,Least Biased,0.5833333333333334
433,Roman Green,American Greatness,Right,0.5517241379310345
434,Inc.,InfoScum,Questionable,0.5
435,TheFlightChannel,The Militant,Left,0.5714285714285714
436,Real Royalty,HealthyWay,Left-Center,0.5454545454545454
437,Darkness to Light,We are the Mighty,Least Biased,0.5882352941176471
438,Conversations with Bill Kristol,Conservative Daily Post,Questionable,0.5185185185185185
439,Bloggingheads.tv,Blingnews.com,Questionable,0.5517241379310345
440,Jamie Gos,Daily Kos,Left,0.5555555555555556
441,Prey Productions,Godlike Productions,Conspiracy-Pseudoscience,0.7428571428571429
442,The Why,The Whim,Least Biased,0.8
443,Fox5NY,Fox News,Right,0.5714285714285714
444,Seattle Channel,Seattle Times,Left-Center,0.6428571428571429
445,Tristanio,Christian Post,Right,0.6086956521739131
446,Strombo,Stratfor,Least Biased,0.5333333333333333
447,uDiscover Music,Discover Magazine,Pro Science,0.6875
448,Al Jazeera America,Al Jazeera,Left-Center,0.7142857142857143
449,Larry King,Larry King,Left-Center,1.0
450,University of California Television (UCTV),Alternative Media Television,Conspiracy-Pseudoscience,0.5142857142857142
