News Source,Website,Bias
Bloomberg ,www.bloomberg.com),Left-Center
Bluestem Prairie ,www.bluestemprairie.com),Left-Center
Boston.com,,Left-Center
Boston Globe ,www.bostonglobe.com),Left-Center
Boy Genius Report ,bgr.com),Left-Center
Brampton Guardian,,Left-Center
Brennan Center for Justice ,www.brennancenter.org),Left-Center
Brookings Institute ,www.brookings.edu),Left-Center
Buffalo News ,www.buffalonews.com),Left-Center
Business Insider ,www.businessinsider.com),Left-Center
Bustle Magazine ,www.bustle.com),Left-Center
Buzzfeed ,www.buzzfeed.com),Left-Center
CalWatchdog.com ,calwatchdog.com),Left-Center
Canadaland ,www.canadalandshow.com),Left-Center
Capital Gazette ,www.capitalgazette.com),Left-Center
Caribbean Life News ,www.caribbeanlifenews.com),Left-Center
Carnegie Endowment for International Peace ,carnegieendowment.org),Left-Center
Carolina Public Press ,carolinapublicpress.org),Left-Center
Catch News ,http://www.catchnews.com),Left-Center
CBC News ,www.cbc.ca),Left-Center
CBS Boston – WBZ-TV ,boston.cbslocal.com),Left-Center
CBS News ,www.cbsnews.com),Left-Center
CCTV ,www.cctv-america.com),Left-Center
Center for Advanced Defense studies ,c4ads.org),Left-Center
Center for Global Development ,www.cgdev.org),Left-Center
Center for Inquiry ,www.centerforinquiry.org),Left-Center
Center for International Policy ,www.ciponline.org),Left-Center
Center for a New American Security ,www.cnas.org),Left-Center
Center for Popular Democracy ,populardemocracy.org),Left-Center
Center for Public Integrity ,www.publicintegrity.org),Left-Center
Center on Budget and Policy Priorities ,www.cbpp.org),Left-Center
Central News Agency ,http://focustaiwan.tw/),Left-Center
HBO,,Left-Center
Comedy Central,,Left-Center
Channel 4 News ,channel4.com/news),Left-Center
Charleston Gazette Mail ,www.wvgazettemail.com),Left-Center
Charlotte Observer ,www.charlotteobserver.com),Left-Center
Cheddar ,cheddar.com),Left-Center
Chicago Reporter ,chicagoreporter.com),Left-Center
Chicago Sun-Times ,chicago.suntimes.com),Left-Center
China Africa Project ,chinaafricaproject.com),Left-Center
China Global Television Network ,america.cgtn.com/),Left-Center
Citizen Truth ,citizentruth.org),Left-Center
Citizens for Legitimate Government ,www.legitgov.org),Left-Center
Citizens for Responsibility and Ethics in Washington ,www.citizensforethics.org),Left-Center
Citizens for Tax Justice ,ctj.org),Left-Center
CityLab ,Citylab.com),Left-Center
City Pages ,citypages.com),Left-Center
Clean Technica ,cleantechnica.com),Left-Center
CNBC ,www.cnbc.com),Left-Center
Columbia Journalism Review ,www.cjr.org),Left-Center
Columbia Reports ,colombiareports.com),Left-Center
Committee to Investigate Russia ,investigaterussia.org),Left-Center
Common Cause ,www.commoncause.org),Left-Center
Commonweal Magazine ,www.commonwealmagazine.org),Left-Center
CommonWealth fund ,www.commonwealthfund.org),Left-Center
Connecticut Post ,ctpost.com),Left-Center
Consortium News ,consortiumnews.com),Left-Center
Constitution Project ,www.constitutionproject.org),Left-Center
Corpus Christi Caller-Times,,Left-Center
Council for the National Interest ,www.councilforthenationalinterest.org),Left-Center
Credo Action ,credoaction.com),Left-Center
CrossCut.com ,crosscut.com),Left-Center
CT Mirror ,ctmirror.org),Left-Center
Daily Hampshire Gazette,,Left-Center
Daily Mirror ,www.mirror.co.uk),Left-Center
Dawn ,www.dawn.com),Left-Center
DCReport.org ,www.dcreport.org),Left-Center
Deadline Hollywood ,deadline.com),Left-Center
Deccan Herald ,www.deccanherald.com),Left-Center
Debunking Denialism ,debunkingdenialism.com),Left-Center
Delaware Online – The News Journal ,www.delawareonline.com),Left-Center
Democracy 21 ,www.democracy21.org),Left-Center
Democrat and Chronicle ,www.democratandchronicle.com),Left-Center
Demos ,www.demos.org),Left-Center
Denver Post ,www.denverpost.com),Left-Center
Denver Westword,,Left-Center
Detroit Free Press ,www.freep.com),Left-Center
Die Zeit ,www.zeit.de),Left-Center
Digg ,digg.com),Left-Center
Diply ,https://diply.com/),Left-Center
DiversityInc ,www.diversityinc.com),Left-Center
Dutch Daily News ,www.dutchdailynews.com),Left-Center
Dutch Review ,dutchreview.com),Left-Center
DW News ,www.dw.com),Left-Center
Earth Institute ,earth.columbia.edu),Left-Center
EarthJustice ,earthjustice.org),Left-Center
East Bay Times ,www.eastbaytimes.com),Left-Center
Econofact,,Left-Center
Economic Policy Institute ,www.epi.org),Left-Center
Economics.Help ,www.economicshelp.org),Left-Center
Egyptian Streets ,egyptianstreets.com),Left-Center
El Pais ,elpais.com),Left-Center
El Paso Times ,www.elpasotimes.com),Left-Center
Electronic Frontier Foundation ,www.eff.org),Left-Center
Emerging Europe ,emerging-europe.com),Left-Center
Emirates 24/7 ,www.emirates247.com),Left-Center
Empty Wheel ,www.emptywheel.net),Left-Center
Engadget ,www.engadget.com),Left-Center
Entertainment Weekly ,https://ew.com),Left-Center
EU Observer ,euobserver.com),Left-Center
EurActiv ,www.euractiv.com),Left-Center
Euromaiden Press,,Left-Center
Exposing the Truth ,www.exposingtruth.com),Left-Center
Fact/Myth ,factmyth.com),Left-Center
Fairness and Accuracy in Reporting ,fair.org),Left-Center
FairVote ,www.fairvote.org),Left-Center
Fast Company ,www.fastcompany.com),Left-Center
Feminist Frequency ,feministfrequency.com),Left-Center
Fight for the Future ,www.fightforthefuture.org),Left-Center
FivethirtyEight ,fivethirtyeight.com),Left-Center
Foreign Policy in Focus ,fpif.org),Left-Center
Fort Worth Weekly ,www.fwweekly.com),Left-Center
France Info ,francetvinfo.fr),Left-Center
Freakonomics ,freakonomics.com),Left-Center
Fresno Bee ,www.fresnobee.com),Left-Center
Fusion ,fusion.net),Left-Center
Gay Star News ,www.gaystarnews.com),Left-Center
Glamour Magazine ,www.glamour.com),Left-Center
Global Citizen ,www.globalcitizen.org),Left-Center
Global News ,globalnews.ca),Left-Center
Global Post ,www.pri.org),Left-Center
Global Real News ,globalrealnews.com),Left-Center
Global Risk Insights ,globalriskinsights.com),Left-Center
Global Times ,www.globaltimes.cn),Left-Center
Google News,,Left-Center
Gothamist ,gothamist.com),Left-Center
Governing Magazine ,www.governing.com),Left-Center
Government Accountability Project ,whistleblower.org),Left-Center
Government Executive ,www.govexec.com),Left-Center
Greensboro News and Record,,Left-Center
Greentech Media ,www.greentechmedia.com),Left-Center
Grist ,grist.org),Left-Center
Gun Violence Archive ,www.gunviolencearchive.org),Left-Center
Harpers ,harpers.org),Left-Center
Hartford Courant ,www.courant.com),Left-Center
Harvard Political Review ,harvardpolitics.com),Left-Center
Health Magazine ,www.health.com),Left-Center
HealthyWay ,www.healthyway.com),Left-Center
Heavy ,heavy.com),Left-Center
Helsingin Sanomat ,hs.fi),Left-Center
Helsinki Times ,www.helsinkitimes.fi),Left-Center
High Country News ,www.hcn.org),Left-Center
Highline ,highline.huffingtonpost.com),Left-Center
Hindustan Times ,www.hindustantimes.com),Left-Center
History News Network ,historynewsnetwork.org),Left-Center
Hollywood Reporter ,www.hollywoodreporter.com),Left-Center
Honolulu Civil Beat ,civilbeat.org),Left-Center
Honolulu Star-Advertiser ,www.staradvertiser.com),Left-Center
Houston Chronicle ,www.chron.com),Left-Center
Human Rights Watch ,www.hrw.org),Left-Center
Humanium ,www.humanium.org),Left-Center
Ice News ,www.icenews.is),Left-Center
If America Knew ,ifamericaknew.org),Left-Center
Independent Australia ,independentaustralia.net),Left-Center
iNews ,inews.co.uk),Left-Center
InfoBae ,infobae.com),Left-Center
Inquisitr ,www.inquisitr.com),Left-Center
Inside Edition ,www.insideedition.com),Left-Center
Inside Higher Ed ,www.insidehighered.com),Left-Center
Inside Philanthropy ,www.insidephilanthropy.com),Left-Center
Insider ,insider.com),Left-Center
InsideClimate News ,insideclimatenews.org),Left-Center
Institute for Middle East Understanding ,imeu.org),Left-Center
Institute on Taxation and Economic Policy ,itep.org),Left-Center
International Business Times ,www.ibtimes.com),Left-Center
International Center for Research on Women ,www.icrw.org),Left-Center
International Crisis Group ,www.crisisgroup.org),Left-Center
Interpreter Magazine ,www.interpretermag.com),Left-Center
Inverse ,www.inverse.com),Left-Center
Ipolitics ,ipolitics.ca),Left-Center
IRIN News ,www.irinnews.org),Left-Center
Jackson Free Press ,www.jacksonfreepress.com),Left-Center
Japan Today ,www.japantoday.com),Left-Center
Jihadica ,www.jihadica.com),Left-Center
Joint Center for Polititical and Economic Studies ,jointcenter.org),Left-Center
Journal Politics and Society ,www.helvidius.org),Left-Center
Just Security ,www.justsecurity.org),Left-Center
Kansas City Star ,www.kansascity.com),Left-Center
KMOV ,www.kmov.com),Left-Center
Knight Foundation ,www.knightfoundation.org),Left-Center
KOCO News 5 ,www.koco.com),Left-Center
Kotaku ,kotaku.com),Left-Center
KUOW NPR ,kuow.org),Left-Center
Kurdistan 24 ,www.kurdistan24.net),Left-Center
Kyiv Post,,Left-Center
Laconia Daily Sun ,laconiadailysun.com),Left-Center
La Presse ,www.lapresse.ca),Left-Center
La Repubblica ,repubblica.it),Left-Center
La Stampa ,lastampa.it),Left-Center
LA Times ,www.latimes.com),Left-Center
Las Vegas Sun ,lasvegassun.com),Left-Center
Latin Times ,www.latintimes.com),Left-Center
Law & Crime ,lawandcrime.com),Left-Center
Left Justified ,www.leftjustified.com),Left-Center
Lethbridge Herald ,lethbridgeherald.com),Left-Center
Lexington Herald Leader ,www.kentucky.com),Left-Center
Liberal Mountain ,www.liberalmountain.com),Left-Center
Lifehacker ,lifehacker.com),Left-Center
Live Leak ,www.liveleak.com),Left-Center
Los Angeles Magazine ,lamag.com),Left-Center
Maine Beacon ,mainebeacon.com),Left-Center
Mainichi Shimbun ,mainichi.jp),Left-Center
Malaysiakini,,Left-Center
Manila Bulletin ,mb.com.ph),Left-Center
Maplight ,maplight.org),Left-Center
McClatchy DC ,www.mcclatchydc.com),Left-Center
MediaFile ,www.mediafiledc.com),Left-Center
Medium ,medium.com),Left-Center
Metro ,www.metro.us),Left-Center
Metro UK ,metro.co.uk),Left-Center
New Haven Register ,nhregister.com),Left-Center
Mexico Daily News ,mexiconewsdaily.com),Left-Center
Miami Herald ,www.miamiherald.com),Left-Center
MIC ,mic.com),Left-Center
Migration Policy Institute ,www.migrationpolicy.org),Left-Center
Milwaukee Journal-Sentinal ,www.jsonline.com),Left-Center
Minneapolis Star-Tribune ,www.startribune.com),Left-Center
Minnesota Public Radio ,www.mprnews.org),Left-Center
MinnPost ,www.minnpost.com),Left-Center
Mint Press News ,www.mintpressnews.com),Left-Center
Mongabay ,news.mongabay.com),Left-Center
Monthly Review ,monthlyreview.org),Left-Center
Moscow Times ,themoscowtimes.com),Left-Center
Mother Jones ,www.motherjones.com),Left-Center
Mother Nature Network ,www.mnn.com),Left-Center
Mothership,,Left-Center
Mountain Democrat ,www.mtdemocrat.com),Left-Center
MSN.com ,www.msn.com),Left-Center
Muncie Voice ,www.muncievoice.com),Left-Center
MWC News – Media With Conscience ,mwcnews.net),Left-Center
Naked Capitalism ,www.nakedcapitalism.com),Left-Center
Naples Daily News ,www.naplesnews.com),Left-Center
National Association for the Advancement of Colored People ,www.naacp.org),Left-Center
National Center for Transgender Equality ,transequality.org),Left-Center
National Monitor ,natmonitor.com),Left-Center
National Newswatch ,www.nationalnewswatch.com),Left-Center
National Observer ,www.nationalobserver.com),Left-Center
National Youth Right Association ,www.youthrights.org),Left-Center
Natural Resource Governance Institute ,www.resourcegovernance.org),Left-Center
Nature Conservancy ,www.nature.org),Left-Center
NBC News ,www.nbcnews.com),Left-Center
NBCNewYork.com ,nbcnewyork.com),Left-Center
NC Policy Watch ,www.ncpolicywatch.com),Left-Center
NDTV ,www.ndtv.com),Left-Center
New America Foundation ,www.newamerica.org),Left-Center
New England Cable News ,www.necn.com),Left-Center
New Europe ,www.neweurope.eu),Left-Center
New Left Review ,newleftreview.org),Left-Center
New Matilda ,newmatilda.com),Left-Center
New Moderate ,newmoderate.com),Left-Center
New York Daily News ,www.nydailynews.com),Left-Center
New York Times ,www.nytimes.com),Left-Center
News and Guts ,www.newsandgutsmedia.com),Left-Center
News Channel 4 ,kfor.com),Left-Center
News Deeply ,www.newsdeeply.com),Left-Center
Newsday ,www.newsday.com),Left-Center
Newser ,www.newser.com),Left-Center
Newsy ,www.newsy.com),Left-Center
NHK World ,nhk.or.jp/nhkworld/),Left-Center
NPR ,www.npr.org),Left-Center
Occupy Independents ,occupyindependents.com),Left-Center
OCWeekly ,www.ocweekly.com),Left-Center
Oil and Water Don’t Mix ,www.oilandwaterdontmix.org),Left-Center
OneIndia ,www.oneindia.com),Left-Center
openDemocracy ,www.opendemocracy.net),Left-Center
Opposing Views ,www.opposingviews.com),Left-Center
Orlando Sentinel ,www.orlandosentinel.com),Left-Center
Our World In Data ,ourworldindata.org),Left-Center
Outside The Beltway ,www.outsidethebeltway.com),Left-Center
Ozy Media ,www.ozy.com),Left-Center
Pacific Standard Magazine ,psmag.com),Left-Center
Palm Beach Daily News ,palmbeachdailynews.com),Left-Center
Patriotic Millionaires ,patrioticmillionaires.org),Left-Center
PBS News Hour ,www.pbs.org),Left-Center
Philadelphia Inquirer ,inquirer.com),Left-Center
Philadelphia Tribune,,Left-Center
Philippine Daily Inquirer ,www.inquirer.net),Left-Center
Philly Voice ,phillyvoice.com),Left-Center
Phoenix News Times ,www.phoenixnewtimes.com),Left-Center
Political Critique ,politicalcritique.org),Left-Center
Politics That Work ,politicsthatwork.com),Left-Center
Polygon ,polygon.com),Left-Center
Population Connection ,www.populationconnection.org),Left-Center
Portland Press-Herald ,www.pressherald.com),Left-Center
Portland Tribune ,pamplinmedia.com),Left-Center
Positive News ,www.positive.news),Left-Center
PRI,,Left-Center
Private Eye ,www.private-eye.co.uk),Left-Center
Project Syndicate ,www.project-syndicate.org),Left-Center
Propublica ,www.propublica.org),Left-Center
Prospect Magazine ,www.prospectmagazine.co.uk),Left-Center
Providence Journal ,www.providencejournal.com),Left-Center
Public Citizen ,www.citizen.org),Left-Center
Quartz ,qz.com),Left-Center
Radio Free Asia ,www.rfa.org),Left-Center
Raleigh News & Observer ,www.newsobserver.com),Left-Center
RationalWiki ,rationalwiki.org),Left-Center
Religion News Service ,religionnews.com),Left-Center
Reno Gazette Journal ,https://www.rgj.com),Left-Center
Represent.us ,represent.us),Left-Center
Reveal ,www.revealnews.org),Left-Center
Right Web ,rightweb.irc-online.org),Left-Center
Roanoke Times,,Left-Center
Rock Hill Herald ,heraldonline.com),Left-Center
Roosevelt Institute ,rooseveltinstitute.org),Left-Center
Rudaw ,rudaw.net),Left-Center
Sacramento Bee ,www.sacbee.com),Left-Center
Salt Lake Tribune ,www.sltrib.com),Left-Center
San Antonio Express ,www.mysanantonio.com),Left-Center
San Diego Reader ,www.sandiegoreader.com),Left-Center
San Francisco Chronicle ,www.sfchronicle.com),Left-Center
San Francisco Examiner ,www.sfexaminer.com),Left-Center
San Francisco Globe ,sfglobe.com),Left-Center
San Jose Mercury News ,www.mercurynews.com),Left-Center
San Luis Obispo Tribune ,sanluisobispo.com),Left-Center
Santa Barbara Independent ,www.independent.com),Left-Center
Sapiens ,sapiens.org),Left-Center
Saudi Gazette ,saudigazette.com.sa),Left-Center
Sciencing ,sciencing.com),Left-Center
ScoopWhoop ,www.scoopwhoop.com),Left-Center
Scroll.in ,scroll.in),Left-Center
Seattle Post-Intelligencer ,www.seattlepi.com),Left-Center
Seattle Times ,www.seattletimes.com),Left-Center
Second Nexus ,secondnexus.com),Left-Center
Sentencing Project ,www.sentencingproject.org),Left-Center
SFGate ,www.sfgate.com),Left-Center
Shame Project ,shameproject.com),Left-Center
Sojourners ,sojo.net),Left-Center
SooToday.com ,www.sootoday.com),Left-Center
South China Morning Post ,www.scmp.com),Left-Center
Special Broadcasting Service ,www.sbs.com.au),Left-Center
Spiegel Online ,www.spiegel.de),Left-Center
St. Louis Post-Dispatch,,Left-Center
St. Paul Pioneer Press ,www.twincities.com),Left-Center
Star Ledger ,www.nj.com),Left-Center
Staten Island Advance ,www.silive.com),Left-Center
Stepfeed ,stepfeed.com),Left-Center
Stop Fake ,www.stopfake.org),Left-Center
Stuff ,www.stuff.co.nz),Left-Center
Sunlight Foundation ,sunlightfoundation.com),Left-Center
SWI – Swissinfo.ch ,www.swissinfo.ch),Left-Center
Syrian Observatory for Human Rights ,SOHR),Left-Center
Tablet Magazine ,www.tabletmag.com),Left-Center
Taiwan News ,www.taiwannews.com.tw),Left-Center
Tampa Bay Times ,www.tampabay.com),Left-Center
Tarbell ,www.tarbell.org),Left-Center
Tax Justice Network ,www.taxjustice.net),Left-Center
Tax Policy Center ,www.taxpolicycenter.org),Left-Center
TechCrunch ,techcrunch.com),Left-Center
Techdirt ,www.techdirt.com),Left-Center
Texas Monthly ,www.texasmonthly.com),Left-Center
Texas Tribune ,www.texastribune.org),Left-Center
The Age ,www.theage.com.au),Left-Center
The Asahi Shimbun ,www.asahi.com),Left-Center
The Asbury Park Press,,Left-Center
The Automatic Earth ,www.theautomaticearth.com),Left-Center
The Baffler ,thebaffler.com),Left-Center
The Bipartisan Press,,Left-Center
The Brownsville Herald,,Left-Center
The Budapest Beacon ,budapestbeacon.com),Left-Center
The Center for Economic Policy and Research ,CEPR),Left-Center
The Century Foundation ,tcf.org),Left-Center
The Christian Left ,www.thechristianleft.org),Left-Center
The Citizen ,www.thecitizen.org.au),Left-Center
The City ,thecity.nyc),Left-Center
The Colorado Sun ,coloradosun.com),Left-Center
The Council of Canadians ,canadians.org),Left-Center
The Courier-Journal ,www.courier-journal.com),Left-Center
The Daily Climate ,www.dailyclimate.org),Left-Center
The Daily Hive ,dailyhive.com),Left-Center
The Daily Tarheel ,www.dailytarheel.com),Left-Center
The Economic Times ,economictimes.indiatimes.com),Left-Center
The European Council on Foreign Relations ,www.ecfr.eu),Left-Center
The Express-Times ,www.lehighvalleylive.com),Left-Center
The Forward ,forward.com),Left-Center
The Frontier ,https://www.readfrontier.org),Left-Center
The Guardian ,www.theguardian.com),Left-Center
The Herald ,www.heraldnet.com),Left-Center
The Hill Talk ,thehilltalk.com),Left-Center
The Hindu ,newsite.thehindu.com),Left-Center
The Independent ,www.independent.co.uk),Left-Center
The Intercept ,theintercept.com),Left-Center
The Irish Times ,www.irishtimes.com),Left-Center
The Irrawaddy ,www.irrawaddy.com),Left-Center
The Jerusalem Report,,Left-Center
The Journal News ,www.lohud.com),Left-Center
The Korea Times ,www.koreatimes.co.kr),Left-Center
The List ,thelist.com),Left-Center
The Local ,www.thelocal.no),Left-Center
The Moderate Voice ,themoderatevoice.com),Left-Center
The Monthly ,www.themonthly.com.au),Left-Center
The Nation Institute ,www.nationinstitute.org),Left-Center
The New Arab ,www.alaraby.co.uk),Left-Center
The New Tropic ,thenewtropic.com),Left-Center
The News Tribune ,www.thenewstribune.com),Left-Center
The News-Times ,www.newstimes.com),Left-Center
The Next Web ,thenextweb.com),Left-Center
The Observer ,,Left-Center
The Odyssey Online ,www.theodysseyonline.com),Left-Center
The Olympian ,www.theolympian.com),Left-Center
The Palm Beach Post ,www.palmbeachpost.com),Left-Center
The Patriot-News ,www.pennlive.com),Left-Center
The Plain Dealer ,www.cleveland.com),Left-Center
The Press Democrat ,www.pressdemocrat.com),Left-Center
The Pulse ,pulsegulfcoast.com),Left-Center
The Record ,www.northjersey.com),Left-Center
The Ringer ,www.theringer.com),Left-Center
The Santa Fe New Mexican,,Left-Center
The Saturday Paper ,www.thesaturdaypaper.com.au),Left-Center
The Skimm ,www.theskimm.com),Left-Center
The State ,www.thestate.com),Left-Center
The State Press ,statepress.com),Left-Center
The Stranger ,www.thestranger.com),Left-Center
The Sun Magazine ,thesunmagazine.org),Left-Center
The Sydney Morning Herald ,www.smh.com.au),Left-Center
The Tab ,thetab.com),Left-Center
The Trace ,www.thetrace.org),Left-Center
The Tyee ,thetyee.ca),Left-Center
The Varsity ,thevarsity.ca),Left-Center
The Verge ,www.theverge.com),Left-Center
The Virginian-Pilot ,pilotonline.com),Left-Center
The Week UK ,www.theweek.co.uk),Left-Center
The Wilderness Society ,wilderness.org),Left-Center
The Wire – India ,thewire.in),Left-Center
The Zero Hour ,www.thisisthezerohour.com),Left-Center
TheWrap ,www.thewrap.com),Left-Center
Thomson Reuters Foundation ,news.trust.org),Left-Center
Thrillist ,https://www.thrillist.com),Left-Center
Time Magazine ,time.com),Left-Center
Timeline,,Left-Center
Times Colonist,,Left-Center
Times Headline ,www.timesheadline.com),Left-Center
Times of Israel ,www.timesofisrael.com),Left-Center
Times-Picayune ,www.nola.com),Left-Center
TMZ ,https://www.tmz.com/),Left-Center
To Inform is to Influence ,toinformistoinfluence.com),Left-Center
Tomdispatch.com ,www.tomdispatch.com),Left-Center
Toronto Star ,www.thestar.com),Left-Center
UAWire ,uawire.org),Left-Center
Unicorn Riot ,www.unicornriot.ninja),Left-Center
Union of Concerned Scientists ,www.ucsusa.org),Left-Center
United Federation of Teachers ,www.uft.org),Left-Center
University Business ,www.universitybusiness.com),Left-Center
Urban Institute ,www.urban.org),Left-Center
USA Today ,www.usatoday.com),Left-Center
UsNews and World Report ,www.usnews.com),Left-Center
Utah Public Radio ,upr.org),Left-Center
Utica Observer-Dispatch ,uticaod.com),Left-Center
Variety Magazine ,variety.com),Left-Center
Vice News ,www.vice.com),Left-Center
Victoria Advocate ,victoriaadvocate.com),Left-Center
Virginia Mercury ,virginiamercury.com),Left-Center
Vote Vets ,www.votevets.org),Left-Center
Vulture ,www.vulture.com),Left-Center
WalesOnline ,walesonline.co.uk),Left-Center
Washington Blade ,www.washingtonblade.com),Left-Center
Washington Monthly ,washingtonmonthly.com),Left-Center
Washington Post ,www.washingtonpost.com),Left-Center
Western Mass News ,westernmassnews.com),Left-Center
WGN News ,wgntv.com),Left-Center
Wikileaks ,www.wikileaks.org),Left-Center
Wings Over Scotland ,wingsoverscotland.com),Left-Center
Wired Magazine ,www.wired.com),Left-Center
WNYC ,www.wnyc.org),Left-Center
Woodrow Wilson International Center ,www.wilsoncenter.org),Left-Center
World Policy Institute ,www.worldpolicy.org),Left-Center
WorldCrunch ,www.worldcrunch.com),Left-Center
WSVN ,wsvn.com),Left-Center
Xinhua News Agency ,www.news.cn),Left-Center
Yahoo News ,news.yahoo.com),Left-Center
YaleGlobal Online ,https://yaleglobal.yale.edu/),Left-Center
YnetNews ,www.ynetnews.com),Left-Center
York Daily Record ,www.ydr.com),Left-Center
York Dispatch ,www.yorkdispatch.com),Left-Center
Youth Radio ,youthradio.org),Left-Center
ACHNews ,achnews.org),Left
Act.TV ,act.tv),Left
Aftonbladet,,Left
Al DIA,,Left
Alliance for Justice ,www.afj.org),Left
Alt News,,Left
Alternet ,www.alternet.org),Left
Amandla ,aidc.org.za),Left
America Blog ,americablog.com),Left
American Bridge 21st Century ,americanbridgepac.org),Left
American News X ,americannewsx.com),Left
American Oversight,,Left
Americans United for Separation of Church and State ,www.au.org),Left
Angry White Men ,angrywhitemen.org),Left
Anti-Fascist News ,antifascistnews.net),Left
AutoStraddle ,www.autostraddle.com),Left
Baltimore City Paper ,www.citypaper.com),Left
Bay Area Reporter ,www.ebar.com),Left
Being Liberal ,www.themaven.net),Left
Bitch Media ,bitchmedia.org),Left
Black Agenda Report ,blackagendareport.com),Left
Black Lives Matter ,blacklivesmatter.com),Left
Blue State Daily ,bluestatedaily.com),Left
BoingBoing ,boingboing.net),Left
Boston Review ,bostonreview.net),Left
TBS,,Left-Center
Bust Magazine ,bust.com),Left
Canada Fact Check ,canadafactcheck.ca),Left
Canadian Dimension ,canadiandimension.com),Left
Capital & Main ,capitalandmain.com),Left
Care2 ,www.care2.com),Left
Ceasefire Magazine ,ceasefiremagazine.co.uk),Left
Center for American Progress ,www.americanprogress.org),Left
Center for Media and Democracy ,www.prwatch.org),Left
Center for a Stateless Society ,c4ss.org),Left
Change.org ,https://www.change.org/),Left
Chicago Reader ,www.chicagoreader.com),Left
China Internet Information Center ,china.org.cn),Left
Chronicles of Democracy ,www.chroniclesofdemocracy.com),Left
Citizen Critics ,citizencritics.org),Left
CNN ,www.cnn.com),Left
Code Pink ,www.codepink.org),Left
Columbus Free Press ,https://columbusfreepress.com/),Left
Comic Sands,,Left
Common Dreams ,www.commondreams.org),Left
Cop Block ,copblock.org),Left
Cosmopolitan ,www.cosmopolitan.com),Left
CounterCurrents.org ,www.countercurrents.org),Left
CounterPunch ,www.counterpunch.org),Left
Crikey ,crikey.com.au),Left
CrimethInc ,crimethinc.com),Left
Crooked Media ,crooked.com),Left
Crooks and Liars ,crooksandliars.com),Left
Current Affairs ,www.currentaffairs.org),Left
Curve Magazine ,www.curvemag.com),Left
Daily Beast ,www.thedailybeast.com),Left
