"","binary","title","description","channel","id"
"11",0,"Watch the Latest News Headlines and Live Events l ABC News Live","#georgefloyd #georgefloydprotests #minneapolis #abcnewsliveLATEST NEWS: https://abcnews.go.com/SUBSCRIBE to ABC News on YouTube: https://bit.ly/2vZb6yPFollow us on Instagram: https://www.instagram.com/abcnews/Follow us on Twitter: https://twitter.com/abcLike us on Facebook: https://www.facebook.com/ABCNews","ABC News","w_Ma8oQLmSM"
"12",0,"Police monitor George Floyd protests in San Francisco Bay Area after curfew","Despite the new curfew order, crowds are still lingering throughout Oakland city streets https://abc7ne.ws/2XTWUkX#georgefloyd #blacklivesmatter #protest #california","ABC News","l-C8ynIcABo"
"13",0,"Peaceful rally at Oakland tech moves to city streets","SKY7 was above a peaceful demonstration that started at a high school in California and moved to city streets. Latest here: https://abc7ne.ws/2Ml4CiN#georgefloyd #blacklivesmatter #protest #california","ABC News","1jGkF0-qcCg"
"14",0,"John Bolton believes Putin thinks he can play President Trump ‘like a fiddle’ | WNT","The former national security adviser speaks to ABC News chief global affairs correspondent Martha Raddatz about Trump’s relationship with Russian President Vladimir Putin.WATCH THE FULL EPISODE OF 'WORLD NEWS TONIGHT':https://bit.ly/2N6JKMPWATCH OTHER FULL EPISODES OF WORLD NEWS TONIGHT:http://abc.go.com/shows/world-news-to...WATCH WORLD NEWS TONIGHT ON HULU:https://hulu.tv/33iKepm#WorldNewsTonight #JohnBolton #Trump","ABC News","OE7YAtHremg"
"15",0,"Trevor Noah's Mom Doesn't Care He's a Celebrity","Trevor talks about his love of computers, getting his first one as a kid, pirating CDs, visiting Microsoft, and reveals that his mom doesn't care that he's a celebrity.Jimmy Kimmel Talks to Kids About Love https://youtu.be/ERvVAWKW_hM  SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe Watch Mean Tweets: http://bit.ly/KimmelMT10 Connect with Jimmy Kimmel Live Online: Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsiteLike Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFBLike Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebookFollow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTWFollow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitterFollow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram About Jimmy Kimmel Live: Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.Now in its seventeenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.Trevor Noah's Mom Doesn't Care He's a Celebrityhttps://youtu.be/TCVPnaaRR0Y","ABC News","TCVPnaaRR0Y"
"16",0,"Can You Name This Country?","In the interest of doing something fun and educational, we went out on the street with a map of the United States that we blacked out so you couldn't see the shapes of the states, and we asked people walking by to name this country.Jimmy Kimmel & Brad Paisley Welcome Immigrants to America https://youtu.be/nG6IcqMCVKQ  SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe Watch Mean Tweets: http://bit.ly/KimmelMT10 Connect with Jimmy Kimmel Live Online: Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsiteLike Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFBLike Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebookFollow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTWFollow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitterFollow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram About Jimmy Kimmel Live: Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.Now in its seventeenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.Can You Name This Country?https://youtu.be/QFOpN957p3s","ABC News","QFOpN957p3s"
"17",0,"People Apologize to Their Teachers","Teachers have difficult jobs and so in honor of Teacher Appreciation Week, we went out to Hollywood Boulevard to give people a chance to say sorry for the terrible things they did while in school.Jimmy Kimmel on the Met Gala https://youtu.be/vlujbzP1G_g SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe Watch Mean Tweets: http://bit.ly/KimmelMT10 Connect with Jimmy Kimmel Live Online: Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsiteLike Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFBLike Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebookFollow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTWFollow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitterFollow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram About Jimmy Kimmel Live: Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.Now in its sixteenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.People Apologize to Their Teachershttps://youtu.be/I2lQ_gFO3I0","ABC News","I2lQ_gFO3I0"
"18",0,"Can You Name a Country?","Donald Trump is overseas visiting Belgium, England, Scotland and then his pal Putin in Russia. It is imperative that America has strong relationships with and knowledge about other nations, and that responsibility extends to all of us. So we came up with a test and went out on the street to ask people passing by, to name any country on a map. It didn't go well.Pedestrian Question World Cup Edition – Are You Drunk? https://youtu.be/y0fU1gSvvYQ SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe Watch Mean Tweets: http://bit.ly/KimmelMT10 Connect with Jimmy Kimmel Live Online: Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsiteLike Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFBLike Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebookFollow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTWFollow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitterFollow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram About Jimmy Kimmel Live: Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.Now in its sixteenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.Can You Name a Country?https://youtu.be/kRh1zXFKC_o","ABC News","kRh1zXFKC_o"
"19",0,"PROOF: The World is Laughing at Donald Trump","World leaders laughed behind Donald Trump's back at the NATO Summit, it was a long day for the House Judiciary portion of the impeachment proceedings, Rep Devin Nunes tried to defend his multiple phone calls with one of Giuliani's Ukrainian henchmen, and Andrew Yang decided to squirt whipped cream into people's mouths.How Tom Holland Drunkenly Saved Spider-Man https://youtu.be/1-NPFORuPCwSUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe Watch Mean Tweets: http://bit.ly/KimmelMT10 Connect with Jimmy Kimmel Live Online: Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsiteLike Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFBLike Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebookFollow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTWFollow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitterFollow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram About Jimmy Kimmel Live: Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.Now in its seventeenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.PROOF: The World is Laughing at Donald Trumphttps://youtu.be/B_zdHfLeaZo","ABC News","B_zdHfLeaZo"
"20",0,"Woman on quest to find sperm donor father finds shocking truth about her conception","Eve Wiley is searching for answers - she knows her mom received a sperm donation to conceive her, but her DNA doesn't match that donor's - it matches her family's trusted fertility doctor. https://abcn.ws/2Ecdjbs#Fertility #DNA #Birth #DNATest #ABCNews #2020 #Nightline","ABC News","v5h1jhMv-2I"
"21",0,"Seed of Doubt l 20/20 l PART 1","#2020 #Fertility #SpermDonor #Documentary #ABCNewsTexas woman discovers she was conceived from anonymous sperm donor: Part 1Her mother admits that after struggling to get pregnant, she and her husband chose artificial insemination to help her to conceive.","ABC News","mT6-JjluNTA"
"22",0,"Seed of Doubt l 20/20 l PART 2","#2020 #Fertility #SpermDonor #Documentary #ABCNewsDonor-conceived woman launches search for sperm donor dad: Part 2Twenty years after donating, California man shocked to get a phone call from sperm bank about his adult child.","ABC News","d8Wr7Oyjb-w"
"23",0,"Seed of Doubt l 20/20 l PART 3","#2020 #Fertility #SpermDonor #Documentary #ABCNewsDNA test shocks donor-conceived woman searching for biological relatives: Part 3A startling secret is exposed after a commercial DNA test reveals unexpected connections.","ABC News","LonVmFkZH0A"
"24",0,"20/20 - Your Biggest Fan - Part 1","WATCH THE FULL EPISODE: https://bit.ly/2IwLmykRebecca Schaeffer gets her first big break on 'One Life to Live':The beautiful young actress from Oregon traveled to New York and appeared first on a popular soap, then on primetime television in ""My Sister Sam.""","ABC News","rDzGCN5Qh-M"
"25",0,"The Woman in the Suitcase: Part 1","WATCH THE FULL EPISODE OF 20/20: https://bit.ly/2YT5ZdIA mystery woman is beaten and left for dead on the side of a Miami roadPolice learn that the woman's name is Inna Budnytska and that she was staying at a hotel before her apparent attack but cameras don't show how she left the hotel.","ABC News","7yZhWcQF6e8"
"26",0,"20/20 Mar 29 Pt 1: Janet Christiansen and Raven Abaroa's ill-fated marriage","WATCH THE FULL EPISODE OF 20/20: https://bit.ly/2uzke9pThe two beautiful young Mormon athletes seemed to have a perfect marriage, but Janet's sisters say that changed dramatically when Abaroa revealed he cheated.READ MORE: https://abcn.ws/2HHxQIzHow contact lenses blew a 2005 murder case wide open and led to a husband serving prison timeOne evening in April 2005, Raven Abaroa said he was out playing soccer when he returned to his family’s North Carolina home to discover a horrifying scene.He told police he found his wife, 25-year-old Janet Abaroa, stabbed to death in an upstairs office. Nothing else in the house was disturbed, according to authorities, and the couple’s 6-month-old son, Kaiden, was left unharmed in another room.""She's been shot or something. There's blood everywhere,"" Raven Abaroa told a 911 dispatcher at the time.Who killed Janet Abaroa was a mystery that captivated the Durham, North Carolina, suburbs, and the case remained unsolved for years.SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/","ABC News","kRpJQCp55-0"
"27",0,"My Father BTK - 20/20 PT 1","WATCH THE FULL EPISODE OF 20/20: https://bit.ly/2G7o4ylWoman recalls moment she found out her father was the BTK serial killerKerri Rawson told ""20/20"" that, on Feb. 25, 2005, the FBI arrived at her home to tell her that her father Dennis Rader had been arrested and identified as the BTK serial killer.","ABC News","6ggPe5jT9_4"
"28",0,"Undercover Girlfriend l 20/20 l PART 1","International scholar Yingying Zhang vanishes from Illinois college campus: Part 1On June 9, 2017, Zhang, 26, went to sign a lease for an apartment near the University of Illinois where she intended to start a Ph.D. program. Security cameras captured her last moments seen alive.WATCH THE FULL EPISODE OF 20/20:  https://bit.ly/2QoY2ew#ABCNews #ABC2020 #Documentary #TrueCrime #UndercoverGirlfriend","ABC News","nYuKk1xR99w"
"29",0,"Adults abandoned at birth turn to genetic genealogy to find biological family: Part 1","Andrea Klug-Napier and Ben Tveidt learned they were ""foundlings,"" or abandoned at birth by their respective mothers.","ABC News","y8LYR6KK5K0"
"30",0,"20/20 - Your Biggest Fan - Part 2","WATCH THE FULL EPISODE: https://bit.ly/2IwLmykPam Dawber remembers 'My Sister Sam' co-star Rebecca Schaeffer""She became my little sister,"" Dawber told ABC News. The two actresses lived together for a while, as Dawber watched Schaeffer grow up on the Hollywood scene.","ABC News","s3zbU4aNQNQ"
"31",0,"20/20 - Your Biggest Fan - Part 4","WATCH THE FULL EPISODE: https://bit.ly/2IwLmykRebecca Schaeffer's stalker snaps after her new role in movieRobert Bardo took a page from the playbook of actress Theresa Saldana's stalker, who hired a private eye to track her down.","ABC News","G0ETUYQxveU"
"32",0,"The Woman in the Suitcase: Part 2","WATCH THE FULL EPISODE OF 20/20: https://bit.ly/2YT5ZdIWeeks turn into months as police try to figure out who attacked rape victimInvestigators learn Inna Budnytska was raped as they consider a cruise ship worker as well as the hotel's night manager as possible suspects.","ABC News","Rh0AGJeHPcs"
"33",0,"Two of abused Turpin children read statements during parents' sentencing","A son and a daughter of David and Louise Turpin spoke out in court Friday after the parents pleaded guilty to 14 felony counts of abuse of their children over several decades.#Turpin #TurpinChildren #TurpinFamily #HouseofHorrors #ABCNews","ABC News","FG9DxtjeNwg"
"34",0,"Head-spinning 2005 case of woman left for dead connected to three other assault cases","In 2005, Inna Budnytska was found brutally beaten and raped, in a vacant lot with no memory of the attack. Her case led investigators on a years-long journey to bring a serial rapist to justice.","ABC News","9ojTHYFyUgc"
"35",0,"Warren Jeffs' World of Polygamy","A look at FLDS, the largest polygamist group in the U.S., and the men trying to help young women leave.","ABC News","iZamlDZs5BQ"
"36",0,"How Woman Was Finally Able to Escape FLDS Community","Part 2: Joe Broadbent, who left the church when he was 17, helped his sister Sabrina Broadbent get to freedom.","ABC News","Trzquxja4YY"
"37",0,"FLDS Leader Warren Jeffs Issues Harsh Edicts From Prison","Amy Robach has the latest on the infamous polygamous sect.","ABC News","aT-cHV_eTXM"
"38",0,"'My Five Wives': A Different Look at Modern Polygamy","Brady Williams, a former fundamentalist Mormon, and his wives star in a new reality series.","ABC News","i-Pm5092a0c"
"39",0,"Undercover Girlfriend l 20/20 l PART 2","Yingying Zhang investigation goes from missing person to kidnapping case: Part 2Video showed a black sedan pull up beside Zhang, who got in the car. A fellow student at the University of Illinois told police a man had approached her to get in his car earlier that same day.WATCH THE FULL EPISODE OF 20/20:  https://bit.ly/2QoY2ew#ABCNews #ABC2020 #Documentary #TrueCrime #UndercoverGirlfriend","ABC News","-r54EdVhuV4"
"40",0,"Undercover Girlfriend l 20/20 l PART 3","Yingying Zhang’s family travels from China to search for scholar in Illinois: Part 3“20/20” went to Zhang’s family home in Nanping, China, to find out more about her story. Her father, boyfriend, and aunt came to the U.S. to look for Zhang themselves.WATCH THE FULL EPISODE OF 20/20:  https://bit.ly/2QoY2ew#ABCNews #ABC2020 #Documentary #TrueCrime #UndercoverGirlfriend","ABC News","yxGgTTbCQFI"
"41",0,"Undercover Girlfriend l 20/20 l PART 4","Investigators identify car Yingying Zhang got into the day she vanished: Part 4Police determined a defect on a hubcap of Brendt Christensen’s car matched that of the vehicle Zhang entered the day she vanished. Christensen agreed to be interviewed by the FBI and campus police.WATCH THE FULL EPISODE OF 20/20:  https://bit.ly/2QoY2ew#ABCNews #ABC2020 #Documentary #TrueCrime #UndercoverGirlfriend","ABC News","saqwyuwKOSc"
"42",0,"The Wicked l 20/20 l PART 1","WATCH THE FULL EPISODE OF 20/20: https://bit.ly/31UPHREAlso Available on Hulu12-year-old 'Slender Man' stabbing survivor found clinging to lifePayton Leutner was 12 years old when two friends of the same age stabbed her 19 times. A man riding his bike found her and called 911. Police said they couldn't believe what they had heard.SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/#ABCNews #ABC2020 #Documentary #TrueCrime #Slenderman #TheWicked","ABC News","mmjbfq1dUA4"
"43",0,"11-year-old arrested for his pregnant soon-to-be stepmother's murder: 20/20 Oct 19 Pt 1","WATCH THE FULL EPISODE OF 20/20:https://bit.ly/2Pekl6cTwenty-six-year-old Kenzie Houk had been shot in the back of the head, and police charged Jordan Brown, the son of Houk's fiance, for her murder.Part 2https://www.youtube.com/watch?v=uuqTJ... SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/","ABC News","TA6bvn9e8Oc"
"44",0,"Undercover Girlfriend l 20/20 l PART 5","Brendt Christensen arrested in connection to Yingying Zhang’s disappearance: Part 5Christensen initially said he was home when she disappeared but then changed his story, admitting to picking up an Asian woman in his car. He was arrested for making a false statement to the FBI.WATCH THE FULL EPISODE OF 20/20:  https://bit.ly/2QoY2ew#ABCNews #ABC2020 #Documentary #TrueCrime #UndercoverGirlfriend","ABC News","sXABakgRhe4"
"45",0,"Abandoned as babies, adults find clues in search for birth parents: Part 2","Using Ben Tveidt's DNA, genetic genealogist CeCe Moore finds someone they weren't even looking for: his father.","ABC News","BBo3qil7Ldg"
"46",0,"Woman who was abandoned at birth sets out to meet her biological siblings","Andrea Klug-Napier, who was abandoned at birth, recently discovered she has a sister and two brothers who were also deserted by their biological mother.","ABC News","ROURUD1ARtM"
