title,genre,views,likes,dislikes,description,duration,datePublished,uploadDate,key,channel,channel_url,channel_id,recommendations,id
10 Heroic Kids Who Came to the Rescue | ABC News Remix,News & Politics,35243203,"403,317","11,617",Inspired by the super twin who saved his brother beneath a fallen dresser - here are 10 kids who came to the rescue to save their friends and family! For more: http://abcn.ws/2iv4sYvSUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://gma.yahoo.com/,PT10M15S,2017-01-05,2017-01-05,11242,ABC News,/channel/UCBi2mrWuNuyYy4gbM6fU18Q,UCBi2mrWuNuyYy4gbM6fU18Q,20,5l0sR191G2Y
Judge Judy Sheindlin Tells Women How To Negotiate Salary | Megyn Kelly TODAY,News & Politics,714901,"6,142",376,"Megyn Kelly is excited to welcome American’s favorite TV judge, Judy Sheindlin, to Megyn Kelly TODAY. Judge Judy talks about facing gender discrimination in law school, reveals the origin of the lace collar she wears on TV, explains her tough-love approach to young offenders.» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY» Watch the latest from TODAY: http://bit.ly/LatestTODAYAbout: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.  Connect with TODAY Online!Visit TODAY's Website: http://on.today.com/ReadTODAYFind TODAY on Facebook: http://on.today.com/LikeTODAYFollow TODAY on Twitter: http://on.today.com/FollowTODAYFollow TODAY on Google+: http://on.today.com/PlusTODAYFollow TODAY on Instagram: http://on.today.com/InstaTODAYFollow TODAY on Pinterest: http://on.today.com/PinTODAYJudge Judy Sheindlin Tells Women How To Negotiate Salary | Megyn Kelly TODAY",PT12M3S,2018-05-22,2018-05-22,112143,TODAY,/channel/UChDKyKQ59fYz3JO2fl0Z6sg,UChDKyKQ59fYz3JO2fl0Z6sg,20,_eiRTGraji8
🔴 Al Jazeera English | Live,News & Politics,10769358,"20,032","3,329","@Al Jazeera English,  we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story and giving a 'voice to the voiceless'.Reaching more than 270 million households in over 140 countries across the globe, our viewers trust Al Jazeera English to keep them informed, inspired, and entertained. Our impartial, fact-based reporting wins worldwide praise and respect. It is our unique brand of journalism that the world has come to rely on.We are reshaping global media and constantly working to strengthen our reputation as one of the world's most respected news and current affairs channels.Subscribe to our channel: http://bit.ly/AJSubscribeFollow us on Twitter: https://twitter.com/AJEnglishFind us on Facebook: https://www.facebook.com/aljazeeraCheck our website: http://www.aljazeera.com/#AlJazeeraEnglish #BreakingNews#AlJazeeraLive",PT0M0S,2020-05-15,2020-05-15,112324,Al Jazeera English,/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,UCNye-wNBqNL5ZzHSJj3l8Bg,20,2EppLNonncc
Julian Assange's hidden family revealed: top secrets inside the Embassy | 60 Minutes Australia,News & Politics,220609,"4,672",319,"Subscribe here: http://9Soci.al/chmP50wA97J Full Episodes: https://9now.app.link/uNP4qBkmN6 | Top secrets (2020)Wikileaks founder Julian Assange has made his name – and plenty of enemies – by publishing military and other highly sensitive secrets of multiple governments around the world. As a consequence, he now calls a maximum-security jail in England home while he fights a bitter battle with the Trump administration which wants him extradited to the United States. Before prison, the controversial – and now very frail – Australian spent seven years holed up in the Ecuadorian Embassy in London. And that’s where Assange conceived his own top secrets – two sons with his, until now, equally secretive fiancée, Stella Moris.WATCH more of 60 Minutes Australia: https://www.60minutes.com.au LIKE 60 Minutes Australia on Facebook: https://www.facebook.com/60Minutes9 FOLLOW 60 Minutes Australia on Twitter: https://twitter.com/60Mins FOLLOW 60 Minutes Australia on Instagram: https://www.instagram.com/60minutes9For forty years, 60 Minutes have been telling Australians the world’s greatest stories. Tales that changed history, our nation and our lives. Reporters Liz Hayes, Tom Steinfort, Tara Brown, Liam Bartlett and Sarah Abo look past the headlines because there is always a bigger picture. Sundays are for 60 Minutes.#60MinutesAustralia",PT24M18S,2020-06-21,2020-06-21,113224,60 Minutes Australia,/channel/UC0L1suV8pVgO4pCAIBNGx5w,UC0L1suV8pVgO4pCAIBNGx5w,20,x43rg_ozbCI
Home invasion suspects sentenced to 245 years in prison,News & Politics,604445,"5,342",472,Three men convicted of an Indianapolis home invasion will never walk outside of prison again. The three received a sentence of a combined 245 years in prison after a violent 2013 home invasion.FULL STORY: https://www.wthr.com/article/three-me...,PT2M25S,2015-09-08,2015-09-08,112442,WTHR,/channel/UCSFLs1nwzqSC3Tq6cXhJkLg,UCSFLs1nwzqSC3Tq6cXhJkLg,20,PYUww0KlkRo
"Crime Beat: Alicia Ross, Everyone’s Daughter | Ep 5",News & Politics,825618,"5,408",435,"Alicia’s disappearance leads to one of the biggest missing person searches in Ontario’s history. Reporter Catherine McDonald reconnects with Alicia’s mother to tell the story.Crime Beat is a true crime series that takes viewers deep into some of Canada’s most infamous criminal cases. Based on the highly successful podcast hosted by Nancy Hixt, Crime Beat showcases the best investigative crime reporting from the Global News reporters who covered the stories in real time. Using extensive archives and intimate family interviews, each week Crime Beat reveals new details that go beyond the news headlines: giving a voice to victims and their families, unraveling how each case was solved, and exploring lasting impacts on the community and justice system.For more info, please go to https://globalnews.ca/news/6761496/al...Subscribe to Global News Channel HERE: http://bit.ly/20fcXDcLike Global News on Facebook HERE: http://bit.ly/255GMJQFollow Global News on Twitter HERE: http://bit.ly/1Toz8mtFollow Global News on Instagram HERE: https://bit.ly/2QZaZIB#GlobalNews",PT45M23S,2020-04-11,2020-04-11,112122,Global News,/channel/UChLtXXpo4Ge1ReTEboVvTDg,UChLtXXpo4Ge1ReTEboVvTDg,20,Nv14cBHaeqI
Rogue Boeing 737 Max planes 'with minds of their own' | 60 Minutes Australia,Entertainment,1265148,"9,616",751,"Liz Hayes investigates the disaster of Boeing’s 737 MAX jetliner. Why two supposedly state-of-the-art and safe planes crashed killing 346 people; why pilots now fear flying the 737 MAX; & whether Boeing could have averted the catastrophes.WATCH more of 60 Minutes Australia: https://www.60minutes.com.au LIKE 60 Minutes Australia on Facebook: https://www.facebook.com/60Minutes9 FOLLOW 60 Minutes Australia on Twitter: https://twitter.com/60Mins FOLLOW 60 Minutes Australia on Instagram: https://www.instagram.com/60minutes9For forty years, 60 Minutes have been telling Australians the world’s greatest stories. Tales that changed history, our nation and our lives. Reporters Liz Hayes, Allison Langdon, Tara Brown, Charles Wooley, Liam Bartlett and Sarah Abo look past the headlines because there is always a bigger picture. Sundays are for 60 Minutes.#60MinutesAustralia",PT43M2S,2019-05-26,2019-05-26,113222,60 Minutes Australia,/channel/UC0L1suV8pVgO4pCAIBNGx5w,UC0L1suV8pVgO4pCAIBNGx5w,20,aO7_indbfME
"Crime Beat: Meika Jordan, the Broken Princess | Ep 1",News & Politics,2723098,"23,797","1,832","Crime reporter Nancy Hixt takes you through the case of Meika Jordan, a six year old girl whose life was tragically cut short. Follow along as she reveals the shocking behind the scenes details of this case and the evidence as it was uncovered by investigators in their quest for justice for Meika.Crime Beat is a true crime series that takes viewers deep into some of Canada’s most infamous criminal cases. Based on the highly successful podcast hosted by Nancy Hixt, Crime Beat showcases the best investigative crime reporting from the Global News reporters who covered the stories in real time. Using extensive archives and intimate family interviews, each week Crime Beat reveals new details that go beyond the news headlines: giving a voice to victims and their families, unraveling how each case was solved, and exploring lasting impacts on the community and justice system.For more info, please go to https://globalnews.ca/news/6588679/th...Subscribe to Global News Channel HERE: http://bit.ly/20fcXDcLike Global News on Facebook HERE: http://bit.ly/255GMJQFollow Global News on Twitter HERE: http://bit.ly/1Toz8mtFollow Global News on Instagram HERE: https://bit.ly/2QZaZIB#GlobalNews",PT45M14S,2020-03-14,2020-03-14,11314,Global News,/channel/UChLtXXpo4Ge1ReTEboVvTDg,UChLtXXpo4Ge1ReTEboVvTDg,20,5bttM6SYuLE
INSIDE THE DUBAI ROYAL FAMILY: Where are the missing Princesses? | 60 Minutes Australia,News & Politics,1357654,"13,319","1,121","Subscribe here: http://9Soci.al/chmP50wA97J Full Episodes here http://9Soci.al/sImy50wNiXL | Escape from the Palace (2020)Divorces are often messy and costly affairs, but nothing compares to the one that currently entangles the royal family of Dubai. The Emirates’ ruler, Sheikh Mohammed Bin Rashid Al-Maktoum, is pitted against his ex-wife, Princess Haya Bint Al-Hussain, who surprisingly at this point, holds the upper hand. In this billion-dollar battle a judge has ruled the Princess’ claims that the all-powerful Sheikh intimidated her with guns and threatened her with imprisonment are true. Other accusations against Sheikh Mohammed are so outrageous they’re difficult to believe, but as Tom Steinfort has been reporting for two years now, this royal ruler has form.WATCH more of 60 Minutes Australia: https://www.60minutes.com.au LIKE 60 Minutes Australia on Facebook: https://www.facebook.com/60Minutes9 FOLLOW 60 Minutes Australia on Twitter: https://twitter.com/60Mins FOLLOW 60 Minutes Australia on Instagram: https://www.instagram.com/60minutes9For forty years, 60 Minutes have been telling Australians the world’s greatest stories. Tales that changed history, our nation and our lives. Reporters Liz Hayes, Allison Langdon, Tara Brown, Charles Wooley, Liam Bartlett and Sarah Abo look past the headlines because there is always a bigger picture. Sundays are for 60 Minutes.#60MinutesAustralia",PT24M11S,2020-05-17,2020-05-17,113223,60 Minutes Australia,/channel/UC0L1suV8pVgO4pCAIBNGx5w,UC0L1suV8pVgO4pCAIBNGx5w,30,syGpm7DM-4g
Richardson Trial: Verdict is delivered,News & Politics,326516,,,Brooke Richardson Trial: Watch as verdict is delivered,PT6M10S,2019-09-18,2019-09-18,11133,WHIO,/channel/UCIr2L5vnVPAC1-FCLf5mcng,UCIr2L5vnVPAC1-FCLf5mcng,20,CUSSqHwtLWQ
Hansen Vs Predator: Former Mail Carrier Sting - Crime Watch Daily,News & Politics,25798738,"185,381","7,533",This 40-year-old believes he is going to cuddle in bed with a 13-year-old girl. Soon he will find out this hook-up doesn’t have a happy ending.,PT13M11S,2016-09-15,2016-09-15,112431,True Crime Daily,/channel/UC69uYUqvx-vw4luuX7aHNLQ,UC69uYUqvx-vw4luuX7aHNLQ,19,VOBgE10sEQE
Jimmie Rodgers: What Damaged his career? (Jerry Skinner Documentary),Entertainment,168425,"3,574",103,,PT45M27S,2019-10-27,2019-10-27,11121,Jerry Skinner,/channel/UC2QPAkWjClv_eDBWD-9izxw,UC2QPAkWjClv_eDBWD-9izxw,20,0Oysq_h2r8w
Secret Lives with JVM  The Jodi Arias Story,News & Politics,1253557,"3,971",827,"This is a sensationalist HLN program centered on what else: S-E-X  So, knowing that going in, you'll know what to expect. Rating: 2.5 umms out of 5 umms.P.S.  Nancy Grace.  If you're missing a soft-focus lens camera, I think its location is now known.",PT39M40S,2013-05-31,2013-05-31,113423,whatchutalkinbout,/channel/UCpmHHQU6SnHp2HETZIQWX3w,UCpmHHQU6SnHp2HETZIQWX3w,20,KThWSKTdbSY
Detroit judge goes off on rape defendant who swore at her in court,News & Politics,2816702,"22,274","1,238",A Detroit judge went off on a rape defendant who swore at her in court.,PT3M33S,2018-04-05,2018-04-05,113341,Click On Detroit | Local 4 | WDIV,/channel/UCqMdEOPBZbGPykVOhUqWqfA,UCqMdEOPBZbGPykVOhUqWqfA,20,TzFYyaR0QLk
A high school cheerleader and football player's tumultuous relationship: 20/20 Sep 14 Part 1,News & Politics,3838766,"22,330","1,071",Emma Walker's friends say her then-boyfriend Riley Gaul became aggressive in the way he spoke to her.WATCH THE FULL EPISODE OF 20/20:https://bit.ly/2MFiUbW,PT6M50S,2018-09-15,2018-09-15,11312,ABC News,/channel/UCBi2mrWuNuyYy4gbM6fU18Q,UCBi2mrWuNuyYy4gbM6fU18Q,20,tbNJEWkE00Q
Dangerous child predator captured,News & Politics,17602,93,11,A child sex offender from New York is on the loose after he was detained by Pinellas Park Police Thursday night. Police said Jesse Sawyer Jr. was released when a warrant for his arrest could not be confirmed.,PT2M36S,2014-03-28,2014-03-28,112412,ABC Action News,/channel/UCK0UUsCjtMRNtS3BPh1Yc4w,UCK0UUsCjtMRNtS3BPh1Yc4w,20,nKBPfBw_0yU
Michelle Wilkins says she could feel intestines outside of body after Dynel Lane stabbed her,News & Politics,280151,"1,075",52,"Dynel Lane is accused of cutting Wilkins' baby from her body in Lane's Boulder County home.◂The Denver Channel, 7News, brings you the latest trusted news and information for Denver, Colorado, Mile High and the Rocky Mountains.Our mission is to provide useful, interesting news and updates on breaking news to people in the Denver metro area, all across our beautiful state of Colorado and all over the world.For more download the 7News mobile app:iPhone:  http://bit.ly/iOS-kmghAndroid:  http://bit.ly/kmgh-android",PT5M53S,2016-02-17,2016-02-17,113244,Denver7 – The Denver Channel,/channel/UC-2MJlKSq9_pYk5-bdvMhnw,UC-2MJlKSq9_pYk5-bdvMhnw,20,k-dEaP30m0k
Ames Moot Court Competition 2018,Education,116231,"1,319",31,"Associate Justice of the Supreme Court of the United States Sonia Sotomayor was at Harvard Law School on Nov. 13 to preside over the 2018 Ames Moot Court Competition.Justice Sotomayor was joined on the bench by Judge Jennifer Walker Elrod ’92 of the 5th Circuit Court of Appeals and Judge Susan Carney ’77 of the 2nd Circuit Court of Appeals to hear the fictitious case, Groves v. Gallant, a constitutional dispute over the right of a convicted criminal to “keep and bear arms” and the right to publish instructions for 3D-printing guns on the Internet.The two teams of 3Ls—the Grace Murray Hopper Memorial Team for the petitioner and the Clarence Earl Gideon Memorial Team for the respondent—clashed over the constitutionality of two revised statutes, specifically whether one violates the Second Amendment as applied to the petitioner, and whether the other violates the Free Speech Clause of the First Amendment.",PT86M59S,2018-11-20,2018-11-20,111421,Harvard Law School,/channel/UCBcn1VNOJUsPNrsCJGTcquw,UCBcn1VNOJUsPNrsCJGTcquw,20,o1dFqTqv3Fo
Man sentenced to life without parole as a teen gets new sentence,News & Politics,109089,810,35,"Erik Jensen was 17 when he was accused of helping his friend kill his mother. Wednesday, a federal ruling brings him back to court for a new sentence.More local videos here: https://bit.ly/2Pa0d1lSubscribe to NEXT: http://bit.ly/2eP1GwIStay connected:9NEWS Website: http://www.9news.com/Facebook: https://www.facebook.com/ilike9newsTwitter: https://twitter.com/9NEWSInstagram: https://www.instagram.com/9newsdenver/Google+: https://plus.google.com/+9news/postsSnapchat: Denver9NEWS Pinterest: https://www.pinterest.com/9news/9NEWS (KUSA) is located in Denver, Colorado.",PT2M10S,2019-05-22,2019-05-22,113231,9NEWS,/channel/UC72nbKQLSDyiSARhg0Ywj4w,UC72nbKQLSDyiSARhg0Ywj4w,20,jJAOK2LKPR4
Sergeant Alvin C. York & Audie L. Murphy:  (Jerry Skinner Documentary),Entertainment,924827,"8,063",379,,PT57M29S,2015-10-10,2015-10-10,111212,Jerry Skinner,/channel/UC2QPAkWjClv_eDBWD-9izxw,UC2QPAkWjClv_eDBWD-9izxw,20,RBXppkaA8t4
Mother Maybelle & The Carter Sisters: The Henrico Years,Education,38437,389,14,"The lilting music of the Carter family sprang from the hills of Southwest Virginia, but it flowered in Henrico County. For about six years during the 1940s, Maybelle Carter and her young daughters – Helen, June and Anita – set roots in central Virginia. In 1946, they saw their popularity explode when they landed a spot with Richmond's biggest radio station – WRVA – and its premier stage for hillbilly fun. The family moved to Henrico in 1947, buying a two-story home on what used to be Mountain Road.",PT28M15S,2018-03-01,2018-03-01,111232,Henrico County Government,/channel/UC8cfZL0QP88G97gLcNt8pTw,UC8cfZL0QP88G97gLcNt8pTw,19,U_X1lFbPIKM
Judge orders suspect to have mouth taped during sentencing,News & Politics,7001980,"47,190","5,449","It was an unusual sight in Cuyahoga County Common Pleas Court on Tuesday.Franklyn Williams, 32, is accused of three armed robberies in Richmond Heights and Euclid. During his sentencing hearing, Williams would not stop talking, despite more than a dozen warnings from Judge John Russo over the course of about 30 minutes. Williams even interrupted his own attorneys.",PT2M34S,2018-07-31,2018-07-31,11134,FOX 8 News Cleveland,/channel/UCqk7J74c0gWpV9p7eVglFZw,UCqk7J74c0gWpV9p7eVglFZw,20,rmvMzFGFAww
"Dallas Mother murdered while sitting in car, only her cell phone was taken",News & Politics,250043,"1,837",128,Arrests for sex trafficking helped lead officers to murder suspects.,PT3M54S,2014-12-19,2014-12-19,112332,FOX 4 News - Dallas-Fort Worth,/channel/UCruQg25yVBppUWjza8AlyZA,UCruQg25yVBppUWjza8AlyZA,20,k8gnlMb-1Zc
Man accused in triple murder has courtroom outburst...again,News & Politics,8955604,"84,590","3,495",A murder suspect created quite a scene in a Louisville courtroom.Subscribe to WLKY on YouTube now for more: http://bit.ly/1e5KyMOGet more Louisville news: http://www.wlky.comLike us:  http://www.facebook.com/wlkynewsFollow us: http://twitter.com/WLKYInstagram: https://www.instagram.com/wlky/,PT1M36S,2019-10-31,2019-10-31,111341,WLKY News Louisville,/channel/UCojNA7ZvnmGuIvYnm44wl3Q,UCojNA7ZvnmGuIvYnm44wl3Q,20,uaJs2k42PrA
Attempted home invasion ends with 3 dead,News & Politics,1669861,"17,545",420,Officials say homeowner's son shot suspects,PT2M57S,2017-03-27,2017-03-27,11244,KJRH -TV | Tulsa | Channel 2,/channel/UChrpaYlmaVsVyEF0bTqmuHw,UChrpaYlmaVsVyEF0bTqmuHw,20,bAk0FNH7RS4
The Men of Atalissa | The New York Times,News & Politics,475851,"3,885",202,"For decades, a group of men with intellectual disabilities seemed happy living in a small Iowa town. Then their neighbors found out the truth. This film is being shown in collaboration with POV.org.Read the story here: http://nyti.ms/1h1J3MhSubscribe on YouTube: http://bit.ly/U8Ys7nWatch more videos at: http://nytimes.com/video---------------------------------------------------------------Want more from The New York Times?Twitter: https://twitter.com/nytvideoFacebook: https://www.facebook.com/nytimes Google+: https://plus.google.com/+nytimes/Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch. On YouTube.The Men of Atalissa | The New York Times http://www.youtube.com/user/TheNewYor...",PT35M9S,2014-03-08,2014-03-08,112314,The New York Times,/channel/UCqnbDFdCpuN8CMEg0VuEBqA,UCqnbDFdCpuN8CMEg0VuEBqA,20,Wbz_wFT9foQ
The Dark Reality Of NFL Cheerleading | Shady | Refinery29,News & Politics,3233936,"60,407","1,816","On this episode of Shady, our host, Lexy Lebsack explores the dark side of NFL cheerleading that is often left out of the spotlight. She speaks with former cheerleaders who share their stories of verbal abuse, discrimination, and exploitation all at the hands of the NFL. Watch this shocking episode of Shady to get an honest look into the dark reality of NFL cheer! ABOUT SERIESShady is the side of the beauty world you haven't seen. Hosted by Refinery29 Senior Beauty Editor, Lexy Lebsack, the series swivels between the unexpected and uplifting, dives deep into the dark underbelly of beauty, gives a voice to those trampled by this quickly growing industry, and questions what it’s all worth. From counterfeit makeup to skin trafficking for cosmetic procedures, we go there.ABOUT REFINERY29 Refinery29 is a modern woman's destination for how to live a stylish, well-rounded life. http://refinery29.com/RELATED CONTENTThe Truth About Where Hair Extensions Come From https://youtube.com/watch?v=VlZ1SWLBfPEWhy Fake Kylie Jenner Lip Kits Could Be Dangeroushttps://youtube.com/watch?v=G-VsdEy9IF8What Beauty Is Like Behind Prison Barshttps://youtube.com/watch?v=Dp1DFvQTcJkSEE MORE REFINERY29 VIDEOShttp://refinery29.com/videoSUBSCRIBE TO REFINERY29Subscribe to the Refinery29 channel: http://bit.ly/subscribe-to-r29For the latest trends and videos, visit: http://refinery29.comLike Refinery29 on Facebook: https://facebook.com/refinery29Follow Refinery29 on Twitter: https://twitter.com/refinery29Heart Refinery29 on Instagram: https://instagram.com/refinery29/TALENTFollow Kristan Ann on Instagram: https://instagram.com/kristan.ann/Follow Lexy Lebsack on Instagram: https://instagram.com/lexylebsack/Follow Unbothered on Instagram: https://instagram.com/r29unbothered/Follow OnHerTurf on Instagram: https://instagram.com/onherturf/Follow Refinery29 on Instagram: https://instagram.com/refinery29/",PT11M48S,2018-09-01,2018-09-01,113124,Refinery29,/channel/UCsZsDjpf2Ppv_cT2K6_q2cw,UCsZsDjpf2Ppv_cT2K6_q2cw,20,uXuNg60WYM8
Defense's Closing: Part 3,News & Politics,25784,64,5,Part 3 of the defense's closing argument in the Casey Anthony murder trial.,PT25M17S,2011-07-03,2011-07-03,111442,WESH 2 News,/channel/UCD9nZ3qeRGbPuHJaJduiQxA,UCD9nZ3qeRGbPuHJaJduiQxA,20,ZvdLYt3IBPs
"Romania: What Happened to the Children? (Turning Point, S4E3, 1997)",People & Blogs,117943,959,77,Families who adopted Romanian orphans find that thousands suffer from childhood trauma and neglect.https://en.wikipedia.org/wiki/Romania...,PT46M1S,2018-09-11,2018-09-11,113214,Chef Excellence,/channel/UCx19sp5KGoq1OjmF7Cdz7Bg,UCx19sp5KGoq1OjmF7Cdz7Bg,20,t-YpcgvOB-4
Hansen vs. Predator: Chris Hansen catches a plumber on the prowl - Crime Watch Daily,News & Politics,21776563,"175,937","6,693","This plumber from NYC drove 50 miles in the rain to have sex with someone he believes is a 12-year-old girl. He may like to be called “Papi,"" Latin slang for “daddy"" — But we have another name for him: predator.",PT14M21S,2016-09-20,2016-09-20,112413,True Crime Daily,/channel/UC69uYUqvx-vw4luuX7aHNLQ,UC69uYUqvx-vw4luuX7aHNLQ,20,jeKBL9yOdjc
Haunted by Columbine | Retro Report Documentary | The New York Times,News & Politics,5932281,"54,086","2,220","The killing of 12 students and a teacher at Columbine High School in 1999 continues to shape how we view and understand school shootings today.Grab the embed code for this video at Times Video:http://nyti.ms/1PK273gRELATED: Sean Graves was told he would never walk again after being shot during the attack at Columbine High School. This is what happened next. WATCH: http://nyti.ms/1FEJYDWProduced by: RETROREPORTRead the story here: http://nyti.ms/1JyY3NV---------------------------------------------------------------Subscribe to the Times Video newsletter for free and get a handpicked selection of the best videos from The New York Times every week: http://bit.ly/timesvideonewsletter Subscribe on YouTube: http://bit.ly/U8Ys7n Watch more videos at: http://nytimes.com/video --------------------------------------------------------------- Want more from The New York Times? Twitter: https://twitter.com/nytvideo Instagram: http://instagram.com/nytvideo Facebook: https://www.facebook.com/nytvideo Google+: https://plus.google.com/+nytimes Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch. On YouTube. Haunted by Columbine | Retro Report Documentary | The New York Timeshttp://www.youtube.com/user/TheNewYor...",PT12M21S,2015-09-29,2015-09-29,11231,The New York Times,/channel/UCqnbDFdCpuN8CMEg0VuEBqA,UCqnbDFdCpuN8CMEg0VuEBqA,20,AUSJ6rqEWUY
Ames Moot Court Competition 2019,Education,705541,"9,872",189,"The case, United States Department of Interior v. Bryce Caldwell, was argued on Nov. 12, at the Ames Moot Court Competition. The presiding judges were Merrick Garland ’77, of the United States Court of Appeals District of Columbia Circuit; Michelle Friedland of the United States Court of Appeals for the Ninth Circuit, and Amul Thapar, of the United States Court of Appeals for the Sixth Circuit.Patricia Roberts Harris Memorial Team (Respondents):Charlotte ButashKelsey Fraser (oralist)Hilary HurdMelanie Fontes (oralist)Kate PeifferAlicia Alvero KoskiJanet Wood Reno Memorial Team (Petitioners):Kevin ChenMikaela Gilbert-Lurie (oralist)Caroline LiAl Kelly (oralist)KC JaskiEliza GreenThe Ames Competition, held in the historic Ames Courtroom of Harvard Law School, is one of the most prestigious competitions for appellate brief writing and advocacy in the country. The students participating in the Final Round started the competition in fall of their 2L year.  Two teams progressed to the Final Round through their strong research abilities and excellent written and oral advocacy.",PT84M38S,2019-11-21,2019-11-21,111422,Harvard Law School,/channel/UCBcn1VNOJUsPNrsCJGTcquw,UCBcn1VNOJUsPNrsCJGTcquw,19,eJ-WJssJgdg
Ex-Cheerleader Shivers as Coroner Describes Baby’s Remains,News & Politics,1561942,"15,111",523,"Brooke Skylar Richardson shivered and scrunched her brow as she listened to harrowing testimony from the coroner who examined the newborn baby prosecutors say she killed and buried it in her backyard as a teen. Dr. Susan Brown, a forensic pathologist with the Montgomery County Coroner's Office, said Friday in an Ohio courtroom that “all the evidence points to a homicide, but the exact cause of death can't be determined.”",PT1M30S,2019-09-06,2019-09-06,113114,Inside Edition,/channel/UC9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,20,3vG8is5eCK8
A Mennonite girl must decide between Church & motherhood or joining the wider world | Hollie’s Dress,Education,484361,"7,855",525,"All Mennonite girls face a decision as they reach adulthood. Become a member of the church and be a mother or forge her own path? #CBCShortDocs #HolliesDress• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • Hollie, like all other girls in her community, has some big decisions ahead of her. And the new responsibilities in her approaching adulthood are symbolized by the making of her first dress. This rite of passage for a young Mennonite girl is recounted by Hollie's mother Deborah, whose own mother helped her cut and sew her first dress at 15, as she describes their community’s traditions of dressmaking.Through the story of Hollie's first dress, we see a Mennonite mother passing family values and community traditions to her daughter that will shape the decisions she must make in her future. Will she choose to be a wife and mother and remain in the community or forge her own path?More Shows:http://bit.ly/CBCDocs-WatchMoreStay Connected:Twitter: http://bit.ly/CBCDocs-TwitterFacebook: http://bit.ly/CBCDocs-FacebookInstagram: http://bit.ly/CBCDocs-Instagram",PT24M13S,2020-04-16,2020-04-16,113144,CBC Docs,/channel/UCsEbwT3FHpAey6prlu7tNhw,UCsEbwT3FHpAey6prlu7tNhw,20,Q0fiXOzG2s0
Meet the Judge Who Went Viral For His Creative Punishments,News & Politics,22194541,"312,098","7,194","Painesville, Ohio, Judge Michael Cicconetti say he believes in making the punishment fit the crime.",PT7M31S,2015-08-31,2015-08-31,113343,ABC News,/channel/UCBi2mrWuNuyYy4gbM6fU18Q,UCBi2mrWuNuyYy4gbM6fU18Q,20,pZSTu98-Cus
Worldwide paedophile ring busted in sting operation | 7.30,News & Politics,4206333,"39,286","2,562","7.30's Mark Willacy goes inside the covert sting operation that brought down a global paedophile ring, including its South Australian ringleader.Read more here: http://ab.co/1WRuXDWFor more from ABC News, click here: http://www.abc.net.au/news/Subscribe to us on YouTube: http://ab.co/1svxLVEYou can also like us on Facebook: http://facebook.com/abcnews.auOr follow us on Instagram: http://instagram.com/abcnews_auOr even on Twitter: http://twitter.com/abcnews",PT9M11S,2015-08-26,2015-08-26,112414,ABC News In-depth,/channel/UCxcrzzhQDj5zKJbXfIscCtg,UCxcrzzhQDj5zKJbXfIscCtg,20,83NtUIlv-Oo
Video: Judge John McBain rips Marlon Thomas Jr. during sentencing,Sports,148421,"2,091",78,Video as Circuit Judge John McBain rips Marlon Thomas Jr. while sentencing him on second degree murder charges.,PT2M54S,2014-09-10,2014-09-10,113334,MLive,/channel/UClmFQfVyDvdtCralM-Oo_mw,UClmFQfVyDvdtCralM-Oo_mw,20,y-pdaQiRIbE
